xq2_bin,z_bin_phi,pt2_bin_phi,phi_content_sum,phi_bin_count,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,spec_content,error,_merge,diff(phiSum - spec),ratio(phiSum/spec)
0,7,3,1206.185,8,6,2,6.0,2.0,1012.72,85.3587,both,193.46499999999992,1.1910350343629037
0,7,4,1077.3097,8,6,3,6.0,3.0,890.098,111.157,both,187.21170000000006,1.2103270651096847
0,7,5,2155.06,8,6,4,6.0,4.0,1908.92,144.299,both,246.13999999999987,1.1289420195712758
0,7,6,1941.6545,8,6,5,6.0,5.0,1655.37,125.737,both,286.2845000000002,1.1729429070238075
0,7,7,1835.6548,8,6,6,6.0,6.0,1529.61,120.57,both,306.0448000000001,1.2000802819019227
0,7,8,2102.667,8,6,7,6.0,7.0,1844.97,120.714,both,257.6969999999999,1.1396754418771036
0,7,9,1434.3328999999999,8,6,8,6.0,8.0,1185.68,113.407,both,248.65289999999982,1.2097133290601172
0,7,10,1020.3104,8,6,9,6.0,9.0,864.524,107.239,both,155.78639999999996,1.1801990459489846
0,7,11,466.3515,8,6,10,6.0,10.0,394.026,54.0601,both,72.32549999999998,1.1835551461071097
0,8,1,283.9703,8,7,0,7.0,0.0,251.691,45.358,both,32.279300000000006,1.1282497189013512
0,8,2,392.02799999999996,8,7,1,7.0,1.0,321.816,46.3358,both,70.21199999999999,1.218174360504139
0,8,3,403.16790000000003,8,7,2,7.0,2.0,326.548,37.1379,both,76.61990000000003,1.2346359493856953
0,8,4,375.8724,8,7,3,7.0,3.0,298.879,52.2359,both,76.99340000000001,1.25760725912493
0,8,5,600.8213000000001,8,7,4,7.0,4.0,505.678,85.7836,both,95.14330000000007,1.1881499689525747
0,8,6,451.97700000000003,8,7,5,7.0,5.0,361.43,37.0673,both,90.54700000000003,1.2505243062280387
0,8,7,250.6483,8,7,6,7.0,6.0,205.887,31.8298,both,44.761300000000006,1.2174071213821174
0,8,8,167.2538,8,7,7,7.0,7.0,151.4,39.6374,both,15.853800000000007,1.1047146631439895
0,8,9,0.0,8,7,8,7.0,8.0,0.0,0.0,both,0.0,
0,8,10,0.0,8,7,9,7.0,9.0,0.0,0.0,both,0.0,
0,8,11,0.0,8,7,10,7.0,10.0,0.0,0.0,both,0.0,
1,1,1,10316.214,8,0,0,0.0,0.0,8990.04,2373.11,both,1326.173999999999,1.1475159176154943
1,1,2,10184.23,8,0,1,0.0,1.0,9273.77,1918.6,both,910.4599999999991,1.0981758227775757
1,1,3,8228.566,8,0,2,0.0,2.0,7695.57,1247.12,both,532.996000000001,1.069260106788711
1,1,4,4822.7519999999995,8,0,3,0.0,3.0,4548.12,615.9,both,274.6319999999996,1.0603836310387589
1,1,5,3309.516,8,0,4,0.0,4.0,3034.77,405.196,both,274.7460000000001,1.0905327257090323
1,1,6,27.3093,8,0,5,0.0,5.0,155.988,45.3414,both,-128.6787,0.17507308254481113
1,1,7,0.0,8,0,6,0.0,6.0,0.0,0.0,both,0.0,
1,1,8,0.0,8,0,7,0.0,7.0,0.0,0.0,both,0.0,
1,1,9,0.0,8,0,8,0.0,8.0,0.0,0.0,both,0.0,
1,1,10,0.0,8,0,9,0.0,9.0,0.0,0.0,both,0.0,
1,1,11,0.0,8,0,10,0.0,10.0,0.0,0.0,both,0.0,
1,2,1,24197.05,8,1,0,1.0,0.0,21099.7,3485.84,both,3097.3499999999985,1.1467959260084266
1,2,2,27764.600000000002,8,1,1,1.0,1.0,21785.8,2569.74,both,5978.800000000003,1.2744356415646891
1,2,3,27701.549,8,1,2,1.0,2.0,23889.3,1667.09,both,3812.249,1.1595797700225623
1,2,4,23232.074,8,1,3,1.0,3.0,19958.0,1204.54,both,3274.0740000000005,1.1640482012225675
1,2,5,28693.273,8,1,4,1.0,4.0,25367.1,1193.56,both,3326.1730000000025,1.131121531432446
1,2,6,13190.357,8,1,5,1.0,5.0,11620.9,589.252,both,1569.4570000000003,1.1350546859537558
1,2,7,5051.572,8,1,6,1.0,6.0,4342.97,194.231,both,708.6019999999999,1.1631606941793289
1,2,8,1893.057,8,1,7,1.0,7.0,1563.08,111.067,both,329.9770000000001,1.211106917112368
1,2,9,41.3433,8,1,8,1.0,8.0,156.991,38.6508,both,-115.64770000000001,0.26334821741373704
1,2,10,0.0,8,1,9,1.0,9.0,0.0,0.0,both,0.0,
1,2,11,0.0,8,1,10,1.0,10.0,0.0,0.0,both,0.0,
1,3,1,14034.539,8,2,0,2.0,0.0,-10187.4,1433.41,both,24221.939,-1.37763698293971
1,3,2,15325.82,8,2,1,2.0,1.0,11901.7,1052.61,both,3424.119999999999,1.2877000764596653
1,3,3,15899.8157,8,2,2,2.0,2.0,13141.2,759.122,both,2758.6156999999985,1.2099211411438833
1,3,4,15464.865,8,2,3,2.0,3.0,12970.7,533.127,both,2494.164999999999,1.1922922432867924
1,3,5,25830.706000000002,8,2,4,2.0,4.0,22063.6,825.947,both,3767.1060000000034,1.1707385014231586
1,3,6,17388.235,8,2,5,2.0,5.0,14912.8,587.582,both,2475.4350000000013,1.165993978327343
1,3,7,10486.91,8,2,6,2.0,6.0,8815.55,360.118,both,1671.3600000000006,1.1895922545955726
1,3,8,8119.32,8,2,7,2.0,7.0,6894.17,253.759,both,1225.1499999999996,1.1777081214997598
1,3,9,3102.061,8,2,8,2.0,8.0,2653.33,95.7124,both,448.7310000000002,1.1691199360803217
1,3,10,1191.7342,8,2,9,2.0,9.0,980.085,66.835,both,211.64920000000006,1.215949841085212
1,3,11,218.457,8,2,10,2.0,10.0,207.79,33.9839,both,10.667000000000002,1.0513354829395063
1,4,1,7453.659000000001,8,3,0,3.0,0.0,5772.21,515.088,both,1681.4490000000005,1.2913007323018395
1,4,2,7924.9699,8,3,1,3.0,1.0,6535.61,379.131,both,1389.3599000000004,1.2125830488661349
1,4,3,7707.950000000001,8,3,2,3.0,2.0,6474.55,330.469,both,1233.4000000000005,1.190499725849673
1,4,4,7782.43,8,3,3,3.0,3.0,6513.28,352.776,both,1269.1500000000005,1.1948557408863123
1,4,5,14926.1955,8,3,4,3.0,4.0,12607.1,424.522,both,2319.0954999999994,1.1839515431780505
1,4,6,11779.2665,8,3,5,3.0,5.0,10041.7,291.694,both,1737.566499999999,1.17303509365944
1,4,7,8703.3266,8,3,6,3.0,6.0,7263.16,234.48,both,1440.1666000000005,1.1982837497728263
1,4,8,8007.195000000001,8,3,7,3.0,7.0,6800.69,308.09,both,1206.505000000001,1.1774092040660582
1,4,9,4334.377,8,3,8,3.0,8.0,3599.57,186.768,both,734.8070000000002,1.2041374386385042
1,4,10,2568.6499,8,3,9,3.0,9.0,2224.12,119.814,both,344.5299,1.1549061651349748
1,4,11,1352.4286,8,3,10,3.0,10.0,1137.86,54.0576,both,214.56860000000006,1.1885720563162427
1,5,1,4944.4519,8,4,0,4.0,0.0,4069.5,357.591,both,874.9519,1.215002309866077
1,5,2,4585.2837,8,4,1,4.0,1.0,3813.55,267.431,both,771.7336999999998,1.202366220450761
1,5,3,4168.0779999999995,8,4,2,4.0,2.0,3636.6,194.069,both,531.4779999999996,1.1461469504482207
1,5,4,4137.505,8,4,3,4.0,3.0,3471.39,176.624,both,666.1150000000002,1.191887111502885
1,5,5,7871.021,8,4,4,4.0,4.0,6657.32,317.279,both,1213.701,1.1823107496710388
1,5,6,7006.32,8,4,5,4.0,5.0,5959.39,289.585,both,1046.9299999999994,1.17567737637577
1,5,7,5604.332,8,4,6,4.0,6.0,4736.44,209.866,both,867.8920000000007,1.1832371992466917
1,5,8,5684.037,8,4,7,4.0,7.0,4968.57,239.465,both,715.4670000000006,1.1439985750427186
1,5,9,3478.6724999999997,8,4,8,4.0,8.0,3014.83,129.635,both,463.84249999999975,1.1538536169535263
1,5,10,2599.3293,8,4,9,4.0,9.0,2216.8,119.581,both,382.5292999999997,1.1725592295200287
1,5,11,1648.3736,8,4,10,4.0,10.0,1378.93,75.5857,both,269.44359999999983,1.1954004916855823
1,6,1,3418.9117,8,5,0,5.0,0.0,2824.13,181.013,both,594.7817,1.2106070542078444
1,6,2,3068.6237,8,5,1,5.0,1.0,2538.9,173.663,both,529.7237,1.2086429949978337
