xq2_bin,z_bin,pt2_bin,rec_A,phi_bin_count_x_A,recerr_A,gen_A,phi_bin_count_y_A,generr_A,eff_A,efferr_A,rec_B,phi_bin_count_x_B,recerr_B,gen_B,phi_bin_count_y_B,generr_B,eff_B,efferr_B,acceptance_scale,eff_B_scaled,efferr_B_scaled,eff_ratio_A_over_Bscaled,eff_ratio_err,z_plot,pt2_plot
1,4,3,35541.242,8,218.51433559478428,1677717.0,8,218.6745768271886,0.021184289126235233,0.00013027431551631326,35541.242,8,218.51433559478428,977900.0,8,218.6745768271886,0.0363444544431946,0.00022360038805620226,0.5904129849247507,0.02145823783326814,0.00013201657254259495,0.98723340149543,0.008587653460428151,4,3
1,4,4,35633.85,8,209.4554706079075,1351051.0,8,208.9480655263908,0.02637491108773836,0.00015508515807269405,35633.85,8,209.4554706079075,787832.0,8,208.9480655263908,0.045230264828034404,0.0002661336109682375,0.5904129849247507,0.02670453566605676,0.00015712873964055947,0.9876566070108691,0.008215725765758916,4,4
1,4,5,69299.3465,8,291.6684975801845,1956102.0,8,290.0661689728397,0.035427266318423065,0.00014919951575780965,69299.3465,8,291.6684975801845,1139932.0,8,290.0661689728397,0.06079252665948495,0.00025633201808718904,0.5904129849247507,0.03589269712614399,0.00015134175193064247,0.9870327157057832,0.005882174718155186,4,5
1,4,6,55892.511,8,253.32778327625257,1245033.0,8,250.10939226152624,0.04489239321367385,0.00020367049342750681,55892.511,8,253.32778327625257,725298.0,8,250.10939226152624,0.07706144371003366,0.0003502835022670681,0.5904129849247507,0.04549807700345163,0.00020681192814339536,0.9866877057302481,0.006336713301589086,4,6
1,4,7,41371.977999999996,8,218.0435846683869,787927.0,8,212.34636317905236,0.05250737441412719,0.00027709225870426693,41371.977999999996,8,218.0435846683869,460084.0,8,212.34636317905236,0.08992266194868762,0.0004757350416594771,0.5904129849247507,0.05309150725350396,0.0002808801459794725,0.9889976218496187,0.007390281313134889,4,7
1,4,8,40996.368,8,213.93711401353434,675083.0,8,206.8961120497918,0.06072789271837686,0.00031745095676828205,40996.368,8,213.93711401353434,391872.0,8,206.8961120497918,0.10461673199412054,0.0005487232248296114,0.5904129849247507,0.06176707700972137,0.0003239733170691859,0.9831757573507816,0.007280608922019522,4,8
1,4,9,23711.683,8,160.2454246606748,345222.0,8,156.378889040209,0.06868531843277659,0.00046522235842808246,23711.683,8,160.2454246606748,199747.0,8,156.378889040209,0.11870858135541461,0.0008076070221686934,0.5904129849247507,0.07008708785423294,0.0004768216726048076,0.9799996052857589,0.009408065679402545,4,9
1,4,10,16570.27,8,133.36512911402292,218927.0,8,130.304379645774,0.07568856285428477,0.0006108397187685299,16570.27,8,133.36512911402292,127140.0,8,130.304379645774,0.13033089507629386,0.0010574332760177182,0.5904129849247507,0.07694905278990916,0.0006243223368523789,0.9836191624208053,0.011256317873653702,4,10
1,4,11,12277.982,8,113.89513512902998,154709.0,8,105.5776678397946,0.0793617824431675,0.0007381788949493026,12277.982,8,113.89513512902998,90696.0,8,105.5776678397946,0.13537512128429038,0.0012656392091715725,0.5904129849247507,0.07992722944200803,0.0007472498233247891,0.9929254773024404,0.013094687172852735,4,11
1,5,1,11620.7148,8,127.2751365249478,1340462.0,8,128.99873438435006,0.008669186295471263,9.495237426500482e-05,11620.7148,8,127.2751365249478,773538.0,8,128.99873438435006,0.01502281051480341,0.00016455544437103214,0.5904129849247507,0.008869662398004012,9.715567109671985e-05,0.9773975498122833,0.01514016206462216,5,1
1,5,2,16725.2556,8,148.35942851127493,1111843.0,8,150.7226418366932,0.015042821333587567,0.00013345117286173036,16725.2556,8,148.35942851127493,644379.0,8,150.7226418366932,0.025955618665412745,0.00023031631811433427,0.5904129849247507,0.015324534291814913,0.00013598174485476253,0.9816168665968653,0.012316866284022645,5,2
1,5,3,18236.9069,8,146.220710006456,918839.0,8,149.10739935563225,0.019847771916516387,0.00015916896865329105,18236.9069,8,146.220710006456,533176.0,8,149.10739935563225,0.034204290703257464,0.000274411503510415,0.5904129849247507,0.02019465737134414,0.00016201611488527283,0.982822909621632,0.011148706179056172,5,3
1,5,4,18331.498,8,145.11150091784594,756491.0,8,143.57451725877402,0.02423227507002727,0.00019187697163548467,18331.498,8,145.11150091784594,439847.0,8,143.57451725877402,0.04167698767980684,0.00033019395429814935,0.5904129849247507,0.024606634698706817,0.00019495079816127706,0.9847862321173394,0.011030818298623467,5,4
1,5,5,35699.299999999996,8,202.0753636758326,1131167.0,8,201.6355078583383,0.031559707806186,0.0001787318196900758,35699.299999999996,8,202.0753636758326,657906.0,8,201.6355078583383,0.05426200703443956,0.00030759917842544584,0.5904129849247507,0.032036993541211284,0.00018161054909456844,0.9851020435356607,0.00789360572438647,5,5
1,5,6,30672.82,8,184.26269771114826,757825.0,8,184.438512184576,0.040474806188763895,0.0002433462268483395,30672.82,8,184.26269771114826,440401.0,8,184.438512184576,0.06964748036448601,0.0004194130266765486,0.5904129849247507,0.04112077677448415,0.00024762689699642514,0.9842908953480402,0.008375811935178008,5,6
1,5,7,23771.7095,8,160.80849539956682,504063.0,8,161.6785903625771,0.04716019525337111,0.0003193830138593858,23771.7095,8,160.80849539956682,293733.0,8,161.6785903625771,0.08092965209901509,0.0005492741631251439,0.5904129849247507,0.04778191746470112,0.00032429859819276067,0.9869883369207755,0.009463164549901615,5,7
1,5,8,25290.942799999997,8,165.84463137303058,453791.0,8,161.8183121704713,0.05573257909478151,0.0003660047524791848,25290.942799999997,8,165.84463137303058,263497.0,8,161.8183121704713,0.09598190036319199,0.0006321526441024606,0.5904129849247507,0.05666896029218219,0.00037323112953260737,0.9834762947374939,0.009147131022092957,5,8
1,5,9,15304.077,8,127.18799635028455,243347.0,8,124.26241545680658,0.06288993494885903,0.0005236467085283799,15304.077,8,127.18799635028455,141428.0,8,124.26241545680658,0.10821108267104108,0.0009043246063176313,0.5904129849247507,0.06388922832174833,0.0005339249901568927,0.9843589694360241,0.011612477486604779,5,9
1,5,10,11132.360999999999,8,108.43890026438851,159293.0,8,105.08245771478701,0.069886065301049,0.0006823105069325615,11132.360999999999,8,108.43890026438851,92297.0,8,105.08245771478701,0.1206145486852227,0.0011828888451882384,0.5904129849247507,0.07121239571459399,0.0006983929339217791,0.9813750064123573,0.013580633870906491,5,10
1,5,11,8878.362000000001,8,96.62488977075213,107512.0,8,89.84858835947284,0.08258019569908476,0.0009013816756000986,8878.362000000001,8,96.62488977075213,62484.0,8,89.84858835947284,0.1420901670827732,0.0015598335058503905,0.5904129849247507,0.08389187967579667,0.0009209459561747677,0.9843645894956584,0.015238704351791695,5,11
