# ix,iz,iPt,ratio_corr
6,4,6,0.0409274
6,4,7,0.0366116
6,4,8,0.0340866
6,4,9,0.029186
6,4,10,0
6,4,11,0
6,5,1,0.0977421
6,5,2,0.0633813
6,5,3,0.0548293
6,5,4,0.0493096
6,5,5,0.0534687
6,5,6,0.0617773
6,5,7,0.0636535
6,5,8,0.0592761
6,5,9,0.0359473
6,5,10,0
6,5,11,0
6,6,1,0.136894
6,6,2,0.0851789
6,6,3,0.0680307
6,6,4,0.0621515
6,6,5,0.0662799
6,6,6,0.0788536
6,6,7,0.084194
6,6,8,0.0689699
6,6,9,0
6,6,10,0
6,6,11,0
6,7,1,0.160966
6,7,2,0.0992665
6,7,3,0.0679209
6,7,4,0.0484975
6,7,5,0.048189
6,7,6,0
6,7,7,0
6,7,8,0
6,7,9,0
6,7,10,0
6,7,11,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
6,8,5,0
6,8,6,0
6,8,7,0
6,8,8,0
6,8,9,0
6,8,10,0
6,8,11,0
7,1,1,0
7,1,2,0
7,1,3,0
7,1,4,0
7,1,5,0
7,1,6,0
7,1,7,0
7,1,8,0
7,1,9,0
7,1,10,0
7,1,11,0
7,2,1,0.000600366
7,2,2,0.000237727
7,2,3,0.000230148
7,2,4,0.000291841
7,2,5,0.00015904
7,2,6,0
7,2,7,0
7,2,8,0
7,2,9,0
7,2,10,0
7,2,11,0
7,3,1,0.0179955
7,3,2,0.0110092
7,3,3,0.00718581
7,3,4,0.00835747
7,3,5,0.00877479
7,3,6,0.00663273
7,3,7,0.00227639
7,3,8,0
7,3,9,0
7,3,10,0
7,3,11,0
7,4,1,0.0502218
7,4,2,0.0298821
7,4,3,0.019809
7,4,4,0.0186895
7,4,5,0.0251027
7,4,6,0.0275542
7,4,7,0.017218
7,4,8,0
7,4,9,0
7,4,10,0
7,4,11,0
7,5,1,0.0900165
7,5,2,0.051064
7,5,3,0.0366928
7,5,4,0.0294128
7,5,5,0.0313866
7,5,6,0.0341115
7,5,7,0
7,5,8,0
7,5,9,0
7,5,10,0
7,5,11,0
7,6,1,0.137223
7,6,2,0.0826542
7,6,3,0.0540589
7,6,4,0.0359074
7,6,5,0.0113777
7,6,6,0
7,6,7,0
7,6,8,0
7,6,9,0
7,6,10,0
7,6,11,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,7,5,0
7,7,6,0
7,7,7,0
7,7,8,0
7,7,9,0
7,7,10,0
7,7,11,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
7,8,5,0
7,8,6,0
7,8,7,0
7,8,8,0
7,8,9,0
7,8,10,0
7,8,11,0
8,1,1,0
8,1,2,0
8,1,3,0
8,1,4,0
8,1,5,0
8,1,6,0
8,1,7,0
8,1,8,0
8,1,9,0
8,1,10,0
8,1,11,0
8,2,1,0
8,2,2,0
8,2,3,0
8,2,4,0
8,2,5,0
8,2,6,0
8,2,7,0
8,2,8,0
8,2,9,0
8,2,10,0
8,2,11,0
8,3,1,0.00831138
8,3,2,0.00543564
8,3,3,0.00276788
8,3,4,0.00323087
8,3,5,0.00419606
8,3,6,0
8,3,7,0
8,3,8,0
8,3,9,0
8,3,10,0
8,3,11,0
8,4,1,0.0357475
8,4,2,0.0188285
8,4,3,0.0149729
8,4,4,0.0126831
8,4,5,0.0153736
8,4,6,0
8,4,7,0
8,4,8,0
8,4,9,0
8,4,10,0
8,4,11,0
8,5,1,0.0801856
8,5,2,0.0309939
8,5,3,0.0189696
8,5,4,0.0111596
8,5,5,0
8,5,6,0
8,5,7,0
8,5,8,0
8,5,9,0
8,5,10,0
8,5,11,0
8,6,1,0.0833362
8,6,2,0
8,6,3,0
8,6,4,0
8,6,5,0
8,6,6,0
8,6,7,0
8,6,8,0
8,6,9,0
8,6,10,0
8,6,11,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,7,5,0
8,7,6,0
8,7,7,0
8,7,8,0
8,7,9,0
8,7,10,0
8,7,11,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
8,8,5,0
8,8,6,0
8,8,7,0
8,8,8,0
8,8,9,0
8,8,10,0
8,8,11,0
9,1,1,0.00143358
9,1,2,0.00377589
9,1,3,0.00637515
9,1,4,0.00737176
9,1,5,0.00586603
9,1,6,0.00121935
9,1,7,0
9,1,8,0
9,1,9,0
9,1,10,0
9,1,11,0
9,2,1,0.0204091
9,2,2,0.0394336
9,2,3,0.0548518
9,2,4,0.0649896
9,2,5,0.0723678
9,2,6,0.0707691
