# ix,iz,iPt,ratio_corr
5,8,11,0
6,1,1,0
6,1,2,0
6,1,3,0
6,1,4,0
6,1,5,0
6,1,6,0
6,1,7,0
6,1,8,0
6,1,9,0
6,1,10,0
6,1,11,0
6,2,1,0.00437078
6,2,2,0.00276223
6,2,3,0.00270529
6,2,4,0.00250016
6,2,5,0.0017703
6,2,6,0.000581424
6,2,7,0
6,2,8,0
6,2,9,0
6,2,10,0
6,2,11,0
6,3,1,0.0289227
6,3,2,0.0217447
6,3,3,0.0163457
6,3,4,0.0177095
6,3,5,0.0170973
6,3,6,0.0128524
6,3,7,0.00959235
6,3,8,0.00699631
6,3,9,0.000636996
6,3,10,0
6,3,11,0
6,4,1,0.053952
6,4,2,0.0414051
6,4,3,0.0325018
6,4,4,0.0296435
6,4,5,0.0335663
6,4,6,0.0348688
6,4,7,0.0320087
6,4,8,0.0311024
6,4,9,0.0284279
6,4,10,0
6,4,11,0
6,5,1,0.0819261
6,5,2,0.0532085
6,5,3,0.0461676
6,5,4,0.0416597
6,5,5,0.0455861
6,5,6,0.0539919
6,5,7,0.0572407
6,5,8,0.0561306
6,5,9,0.0359648
6,5,10,0
6,5,11,0
6,6,1,0.11603
6,6,2,0.0727077
6,6,3,0.0586444
6,6,4,0.054351
6,6,5,0.059472
6,6,6,0.0742054
6,6,7,0.081952
6,6,8,0.0711551
6,6,9,0
6,6,10,0
6,6,11,0
6,7,1,0.147405
6,7,2,0.0937249
6,7,3,0.0650916
6,7,4,0.0475368
6,7,5,0.0484549
6,7,6,0
6,7,7,0
6,7,8,0
6,7,9,0
6,7,10,0
6,7,11,0
6,8,1,0
6,8,2,0
6,8,3,0
6,8,4,0
6,8,5,0
6,8,6,0
6,8,7,0
6,8,8,0
6,8,9,0
6,8,10,0
6,8,11,0
7,1,1,0
7,1,2,0
7,1,3,0
7,1,4,0
7,1,5,0
7,1,6,0
7,1,7,0
7,1,8,0
7,1,9,0
7,1,10,0
7,1,11,0
7,2,1,0.000471483
7,2,2,0.000187117
7,2,3,0.000183219
7,2,4,0.000234901
7,2,5,0.000132972
7,2,6,0
7,2,7,0
7,2,8,0
7,2,9,0
7,2,10,0
7,2,11,0
7,3,1,0.0141928
7,3,2,0.00874084
7,3,3,0.00575074
7,3,4,0.00672868
7,3,5,0.00723227
7,3,6,0.00583042
7,3,7,0.00213001
7,3,8,0
7,3,9,0
7,3,10,0
7,3,11,0
7,4,1,0.0401567
7,4,2,0.0240272
7,4,3,0.0159997
7,4,4,0.0152596
7,4,5,0.0211322
7,4,6,0.0247345
7,4,7,0.0163454
7,4,8,0
7,4,9,0
7,4,10,0
7,4,11,0
7,5,1,0.0728571
7,5,2,0.0417659
7,5,3,0.0306659
7,5,4,0.0253804
7,5,5,0.0281176
7,5,6,0.032225
7,5,7,0
7,5,8,0
7,5,9,0
7,5,10,0
7,5,11,0
7,6,1,0.119418
7,6,2,0.0740791
7,6,3,0.0497845
7,6,4,0.0339832
7,6,5,0.0111068
7,6,6,0
7,6,7,0
7,6,8,0
7,6,9,0
7,6,10,0
7,6,11,0
7,7,1,0
7,7,2,0
7,7,3,0
7,7,4,0
7,7,5,0
7,7,6,0
7,7,7,0
7,7,8,0
7,7,9,0
7,7,10,0
7,7,11,0
7,8,1,0
7,8,2,0
7,8,3,0
7,8,4,0
7,8,5,0
7,8,6,0
7,8,7,0
7,8,8,0
7,8,9,0
7,8,10,0
7,8,11,0
8,1,1,0
8,1,2,0
8,1,3,0
8,1,4,0
8,1,5,0
8,1,6,0
8,1,7,0
8,1,8,0
8,1,9,0
8,1,10,0
8,1,11,0
8,2,1,0
8,2,2,0
8,2,3,0
8,2,4,0
8,2,5,0
8,2,6,0
8,2,7,0
8,2,8,0
8,2,9,0
8,2,10,0
8,2,11,0
8,3,1,0.00593462
8,3,2,0.00388025
8,3,3,0.00197643
8,3,4,0.00232582
8,3,5,0.00318862
8,3,6,0
8,3,7,0
8,3,8,0
8,3,9,0
8,3,10,0
8,3,11,0
8,4,1,0.0255426
8,4,2,0.013462
8,4,3,0.0108218
8,4,4,0.00953368
8,4,5,0.0121619
8,4,6,0
8,4,7,0
8,4,8,0
8,4,9,0
8,4,10,0
8,4,11,0
8,5,1,0.0585583
8,5,2,0.0232467
8,5,3,0.0148009
8,5,4,0.00891171
8,5,5,0
8,5,6,0
8,5,7,0
8,5,8,0
8,5,9,0
8,5,10,0
8,5,11,0
8,6,1,0.0686952
8,6,2,0
8,6,3,0
8,6,4,0
8,6,5,0
8,6,6,0
8,6,7,0
8,6,8,0
8,6,9,0
8,6,10,0
8,6,11,0
8,7,1,0
8,7,2,0
8,7,3,0
8,7,4,0
8,7,5,0
8,7,6,0
8,7,7,0
8,7,8,0
8,7,9,0
8,7,10,0
8,7,11,0
8,8,1,0
8,8,2,0
8,8,3,0
8,8,4,0
8,8,5,0
8,8,6,0
8,8,7,0
8,8,8,0
8,8,9,0
8,8,10,0
8,8,11,0
9,1,1,0.00137006
9,1,2,0.00361123
9,1,3,0.00610077
9,1,4,0.00705916
9,1,5,0.00562198
9,1,6,0.00117012
9,1,7,0
9,1,8,0
9,1,9,0
9,1,10,0
9,1,11,0
9,2,1,0.01944
9,2,2,0.0375908
9,2,3,0.052346
9,2,4,0.0619775
9,2,5,0.0689916
9,2,6,0.0675152
9,2,7,0.0534049
9,2,8,0.0326259
9,2,9,0.0114164
9,2,10,0.000146052
9,2,11,0
9,3,1,0.0236725
9,3,2,0.0387286
9,3,3,0.0516384
9,3,4,0.0641005
9,3,5,0.0794769
9,3,6,0.0945239
9,3,7,0.106152
9,3,8,0.114232
9,3,9,0.112651
9,3,10,0.0883476
9,3,11,0.039369
9,4,1,0.0243581
9,4,2,0.0375388
9,4,3,0.0483644
9,4,4,0.0576939
9,4,5,0.0730662
9,4,6,0.0895328
9,4,7,0.102651
9,4,8,0.115011
9,4,9,0.128086
9,4,10,0.136726
9,4,11,0.142983
9,5,1,0.0300531
9,5,2,0.0401651
9,5,3,0.0477404
9,5,4,0.056137
9,5,5,0.0679849
9,5,6,0.0844178
9,5,7,0.0966487
9,5,8,0.108838
9,5,9,0.120225
9,5,10,0.133049
9,5,11,0.153272
9,6,1,0.0368439
9,6,2,0.0438965
9,6,3,0.048432
9,6,4,0.053804
9,6,5,0.0646518
9,6,6,0.0768746
9,6,7,0.0883037
9,6,8,0.101106
9,6,9,0.113382
9,6,10,0.132007
9,6,11,0.144162
9,7,1,0.044114
9,7,2,0.049295
9,7,3,0.0520902
9,7,4,0.0558243
9,7,5,0.064822
9,7,6,0.0746476
9,7,7,0.0854465
9,7,8,0.0999459
9,7,9,0.106308
9,7,10,0.114567
9,7,11,0.100089
9,8,1,0.0432262
9,8,2,0.0501847
9,8,3,0.0495648
9,8,4,0.0491459
9,8,5,0.0549485
9,8,6,0.0606231
9,8,7,0.0491411
9,8,8,0.0131466
9,8,9,0
9,8,10,0
9,8,11,0
10,1,1,0.00087416
10,1,2,0.0020269
10,1,3,0.00311935
10,1,4,0.00322665
10,1,5,0.00195399
10,1,6,5.43704e-05
10,1,7,0
10,1,8,0
10,1,9,0
10,1,10,0
10,1,11,0
10,2,1,0.0218811
10,2,2,0.0351647
10,2,3,0.0442396
10,2,4,0.0483638
10,2,5,0.0473011
10,2,6,0.0374039
10,2,7,0.0239485
10,2,8,0.0106604
10,2,9,0.00131915
10,2,10,0
10,2,11,0
10,3,1,0.0367955
10,3,2,0.0478085
10,3,3,0.0568733
10,3,4,0.0674841
10,3,5,0.0789904
10,3,6,0.0836393
10,3,7,0.0842745
10,3,8,0.080325
10,3,9,0.0631419
10,3,10,0.03983
10,3,11,0.0140624
10,4,1,0.0485614
10,4,2,0.0531985
10,4,3,0.0590055
10,4,4,0.0669229
10,4,5,0.0807193
10,4,6,0.094176
10,4,7,0.101746
10,4,8,0.105883
10,4,9,0.105783
10,4,10,0.108049
10,4,11,0.107276
10,5,1,0.0631401
10,5,2,0.0576038
10,5,3,0.0600278
10,5,4,0.064187
10,5,5,0.0770851
10,5,6,0.0910012
10,5,7,0.101859
10,5,8,0.111229
10,5,9,0.117316
10,5,10,0.127948
10,5,11,0.143787
10,6,1,0.0773991
10,6,2,0.0668127
10,6,3,0.0626701
10,6,4,0.0647285
10,6,5,0.0728868
10,6,6,0.0849315
10,6,7,0.0975471
10,6,8,0.114024
10,6,9,0.122078
10,6,10,0.137734
10,6,11,0.137641
10,7,1,0.0922477
10,7,2,0.0783896
10,7,3,0.0721021
10,7,4,0.0724827
10,7,5,0.0784732
10,7,6,0.0860827
10,7,7,0.0946758
10,7,8,0.104563
10,7,9,0.111187
10,7,10,0.0747824
10,7,11,0
10,8,1,0.08466
10,8,2,0.0622516
10,8,3,0.0615096
10,8,4,0.0477427
10,8,5,0.0532802
10,8,6,0.0227315
10,8,7,0
10,8,8,0
10,8,9,0
10,8,10,0
10,8,11,0
11,1,1,0.000237223
11,1,2,0.000413303
11,1,3,0.000535771
11,1,4,0.000495684
11,1,5,0.00012441
11,1,6,0
11,1,7,0
11,1,8,0
11,1,9,0
11,1,10,0
11,1,11,0
11,2,1,0.0206604
11,2,2,0.0229276
11,2,3,0.0245151
11,2,4,0.0237314
11,2,5,0.0194357
11,2,6,0.0107395
11,2,7,0.00443492
11,2,8,0.000669238
11,2,9,0
11,2,10,0
11,2,11,0
11,3,1,0.0505985
11,3,2,0.0508639
11,3,3,0.0514092
11,3,4,0.0554054
11,3,5,0.057155
11,3,6,0.051729
11,3,7,0.0445218
11,3,8,0.0342811
11,3,9,0.0212294
11,3,10,0.0103326
11,3,11,0
11,4,1,0.0733092
11,4,2,0.062824
11,4,3,0.0631584
11,4,4,0.0665051
11,4,5,0.0744618
11,4,6,0.0790071
11,4,7,0.0775822
11,4,8,0.0728327
11,4,9,0.0710111
11,4,10,0.0723443
11,4,11,0.0694535
11,5,1,0.0990905
11,5,2,0.0727303
11,5,3,0.066878
11,5,4,0.0682186
11,5,5,0.0774589
11,5,6,0.0883407
11,5,7,0.0975666
11,5,8,0.102369
11,5,9,0.105108
11,5,10,0.115929
11,5,11,0.113829
11,6,1,0.120601
11,6,2,0.0894632
11,6,3,0.0757483
11,6,4,0.0723068
11,6,5,0.0791769
11,6,6,0.0916802
11,6,7,0.106
11,6,8,0.11941
11,6,9,0.11723
11,6,10,0.0990985
11,6,11,0
11,7,1,0.146343
11,7,2,0.111907
11,7,3,0.093053
11,7,4,0.0802613
11,7,5,0.0821404
11,7,6,0.0861734
11,7,7,0.0838591
11,7,8,0.0766253
11,7,9,0
11,7,10,0
11,7,11,0
11,8,1,0.0878283
11,8,2,0.0526095
11,8,3,0
11,8,4,0
11,8,5,0
11,8,6,0
11,8,7,0
11,8,8,0
11,8,9,0
11,8,10,0
11,8,11,0
12,1,1,5.85024e-06
12,1,2,3.30479e-06
12,1,3,2.145e-06
12,1,4,0
12,1,5,0
12,1,6,0
12,1,7,0
12,1,8,0
12,1,9,0
12,1,10,0
12,1,11,0
12,2,1,0.0128508
12,2,2,0.00922777
12,2,3,0.00805076
12,2,4,0.0077221
12,2,5,0.00544943
12,2,6,0.00186253
12,2,7,2.22179e-05
12,2,8,0
12,2,9,0
12,2,10,0
12,2,11,0
12,3,1,0.04693
12,3,2,0.0395993
12,3,3,0.0316902
12,3,4,0.0305793
12,3,5,0.0309404
12,3,6,0.0255523
12,3,7,0.0189336
12,3,8,0.0125722
12,3,9,0.0048601
12,3,10,0
12,3,11,0
12,4,1,0.0796651
12,4,2,0.0594344
12,4,3,0.0518525
12,4,4,0.0487661
12,4,5,0.0503299
12,4,6,0.0523639
12,4,7,0.0485068
12,4,8,0.0475738
12,4,9,0.0469526
12,4,10,0.0103473
12,4,11,0
12,5,1,0.110293
12,5,2,0.0767225
12,5,3,0.0652217
12,5,4,0.0625733
12,5,5,0.0653964
12,5,6,0.0711979
12,5,7,0.0762779
12,5,8,0.0780486
12,5,9,0.0538283
12,5,10,0
12,5,11,0
12,6,1,0.144813
12,6,2,0.104538
12,6,3,0.0808139
12,6,4,0.0737301
12,6,5,0.0759622
12,6,6,0.0828264
12,6,7,0.0852947
12,6,8,0.0738782
12,6,9,0
12,6,10,0
12,6,11,0
12,7,1,0.160205
12,7,2,0.117117
12,7,3,0.0796371
12,7,4,0.0665714
12,7,5,0.0425268
12,7,6,0
12,7,7,0
12,7,8,0
12,7,9,0
12,7,10,0
12,7,11,0
12,8,1,0
12,8,2,0
12,8,3,0
12,8,4,0
12,8,5,0
12,8,6,0
12,8,7,0
12,8,8,0
12,8,9,0
12,8,10,0
12,8,11,0
13,1,1,0
13,1,2,0
13,1,3,0
13,1,4,0
13,1,5,0
13,1,6,0
13,1,7,0
13,1,8,0
13,1,9,0
13,1,10,0
13,1,11,0
13,2,1,0.00347527
13,2,2,0.00209291
13,2,3,0.00178222
13,2,4,0.00193645
13,2,5,0.0015665
13,2,6,5.64535e-05
13,2,7,0
13,2,8,0
13,2,9,0
13,2,10,0
13,2,11,0
13,3,1,0.0291851
13,3,2,0.0203135
13,3,3,0.0148206
13,3,4,0.0143261
13,3,5,0.0165586
13,3,6,0.0151273
13,3,7,0.0104928
13,3,8,0.00324685
13,3,9,0
13,3,10,0
13,3,11,0
13,4,1,0.0650799
13,4,2,0.0398619
13,4,3,0.0324909
13,4,4,0.0296089
13,4,5,0.032418
