# ix,iz,iPt,ratio_corr
9,7,9,0.106609
9,7,10,0.111351
9,7,11,0.0837132
9,8,1,0.0430544
9,8,2,0.0494732
9,8,3,0.0486096
9,8,4,0.0470571
9,8,5,0.0558802
9,8,6,0.0604346
9,8,7,0.0475597
9,8,8,0.0132184
9,8,9,0
9,8,10,0
9,8,11,0
10,1,1,0.000794684
10,1,2,0.00196885
10,1,3,0.00299166
10,1,4,0.00306784
10,1,5,0.00185489
10,1,6,3.94716e-05
10,1,7,0
10,1,8,0
10,1,9,0
10,1,10,0
10,1,11,0
10,2,1,0.0179282
10,2,2,0.0352415
10,2,3,0.0416853
10,2,4,0.0474101
10,2,5,0.0466096
10,2,6,0.0367069
10,2,7,0.0229344
10,2,8,0.010096
10,2,9,0.00109211
10,2,10,0
10,2,11,0
10,3,1,0.0403311
10,3,2,0.0383766
10,3,3,0.0549813
10,3,4,0.0667431
10,3,5,0.078261
10,3,6,0.0822698
10,3,7,0.0826178
10,3,8,0.0780084
10,3,9,0.0609064
10,3,10,0.0360682
10,3,11,0.0105818
10,4,1,0.0389775
10,4,2,0.053584
10,4,3,0.0588782
10,4,4,0.0662815
10,4,5,0.0801412
10,4,6,0.0926295
10,4,7,0.0991825
10,4,8,0.103638
10,4,9,0.102892
10,4,10,0.105346
10,4,11,0.103469
10,5,1,0.0511361
10,5,2,0.0579512
10,5,3,0.0605363
10,5,4,0.0641867
10,5,5,0.0761389
10,5,6,0.0893025
10,5,7,0.0988154
10,5,8,0.107526
10,5,9,0.112798
10,5,10,0.119109
10,5,11,0.142018
10,6,1,0.0778638
10,6,2,0.0669995
10,6,3,0.0626944
10,6,4,0.0640908
10,6,5,0.0725911
10,6,6,0.0833863
10,6,7,0.0949286
10,6,8,0.111861
10,6,9,0.116379
10,6,10,0.13185
10,6,11,0.133537
10,7,1,0.092542
10,7,2,0.0785276
10,7,3,0.0709858
10,7,4,0.0710835
10,7,5,0.0766024
10,7,6,0.0848027
10,7,7,0.0940594
10,7,8,0.102273
10,7,9,0.109948
10,7,10,0.0696004
10,7,11,0
10,8,1,0.0818907
10,8,2,0.0614284
10,8,3,0.0611518
10,8,4,0.0442763
10,8,5,0.0532871
10,8,6,0.0181987
10,8,7,0
10,8,8,0
10,8,9,0
10,8,10,0
10,8,11,0
11,1,1,0.000215679
11,1,2,0.000400221
11,1,3,0.000513615
11,1,4,0.000422729
11,1,5,9.15931e-05
11,1,6,0
11,1,7,0
11,1,8,0
11,1,9,0
11,1,10,0
11,1,11,0
11,2,1,0.0152907
11,2,2,0.0232595
11,2,3,0.0243092
11,2,4,0.0232178
11,2,5,0.0190023
11,2,6,0.0103352
11,2,7,0.00397069
11,2,8,0.000252416
11,2,9,0
11,2,10,0
11,2,11,0
11,3,1,0.0328799
11,3,2,0.0418002
11,3,3,0.0492807
11,3,4,0.0547116
11,3,5,0.0564697
11,3,6,0.0503509
11,3,7,0.0431437
11,3,8,0.0329769
11,3,9,0.0179104
11,3,10,0.00871931
11,3,11,0
11,4,1,0.041118
11,4,2,0.0498361
