xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
5,6,4,1,8,261945.27105295507,2904.8826078508487
5,6,4,2,8,209937.72515274145,2829.3758360932416
5,6,4,3,8,171011.07298167725,2771.733496155874
5,6,4,4,8,144041.49390127903,2354.2009750914717
5,6,4,5,8,189540.1600881573,2543.905638150485
5,6,4,6,8,108058.02454047797,1809.9962458417592
5,6,4,7,8,51137.56941373685,1280.731260001405
5,6,4,8,8,24688.36287635976,894.7277907879385
5,6,4,9,8,1279.0496863817261,229.95435951947266
5,6,4,10,8,0.0,0.0
5,6,4,11,8,0.0,0.0
5,6,5,1,8,143404.50721701892,1552.8795534671303
5,6,5,2,8,119868.7998890509,1660.7961716205982
5,6,5,3,8,98060.97683130934,1493.4289185438006
5,6,5,4,8,77251.86374523002,1396.511511009819
5,6,5,5,8,104026.02504783815,1561.0752954688533
5,6,5,6,8,57056.31593487149,1021.1946267912409
5,6,5,7,8,24851.493529525997,651.9880239078019
5,6,5,8,8,10155.138175257005,429.2973682489697
5,6,5,9,8,1112.544987945734,192.20746697643685
5,6,5,10,8,0.0,0.0
5,6,5,11,8,0.0,0.0
5,6,6,1,8,74284.70710045368,830.2383304041489
5,6,6,2,8,59309.24156703329,917.9719516862544
5,6,6,3,8,44878.68362918379,871.6472413834265
5,6,6,4,8,33153.27024996481,773.7144669855255
5,6,6,5,8,36766.93579176585,788.6092036591118
5,6,6,6,8,13800.392931872291,436.94722439045313
5,6,6,7,8,4231.767076297219,237.49390395354422
5,6,6,8,8,0.0,0.0
5,6,6,9,8,0.0,0.0
5,6,6,10,8,0.0,0.0
5,6,6,11,8,0.0,0.0
5,6,7,1,8,12019.19019005732,287.93071842792114
5,6,7,2,8,7626.773719264645,288.3000366993132
5,6,7,3,8,3780.6830378978225,245.31983620690298
5,6,7,4,8,2431.107475560328,236.6842324637957
5,6,7,5,8,531.744552851965,113.34491595214082
5,6,7,6,8,0.0,0.0
5,6,7,7,8,0.0,0.0
5,6,7,8,8,0.0,0.0
5,6,7,9,8,0.0,0.0
5,6,7,10,8,0.0,0.0
5,6,7,11,8,0.0,0.0
5,6,8,1,8,0.0,0.0
5,6,8,2,8,0.0,0.0
5,6,8,3,8,0.0,0.0
5,6,8,4,8,0.0,0.0
5,6,8,5,8,0.0,0.0
5,6,8,6,8,0.0,0.0
5,6,8,7,8,0.0,0.0
5,6,8,8,8,0.0,0.0
5,6,8,9,8,0.0,0.0
5,6,8,10,8,0.0,0.0
5,6,8,11,8,0.0,0.0
6,7,1,1,8,0.0,0.0
6,7,1,2,8,0.0,0.0
6,7,1,3,8,0.0,0.0
6,7,1,4,8,0.0,0.0
6,7,1,5,8,0.0,0.0
6,7,1,6,8,0.0,0.0
6,7,1,7,8,0.0,0.0
6,7,1,8,8,0.0,0.0
6,7,1,9,8,0.0,0.0
6,7,1,10,8,0.0,0.0
6,7,1,11,8,0.0,0.0
6,7,2,1,8,589373.920860595,69508.96048261027
6,7,2,2,8,555528.702144238,74111.97015133903
6,7,2,3,8,466776.5930697515,60051.34576310563
6,7,2,4,8,66097.7089198209,15871.502479583432
6,7,2,5,8,96205.43702368421,28226.69597226316
6,7,2,6,8,0.0,0.0
6,7,2,7,8,0.0,0.0
6,7,2,8,8,0.0,0.0
6,7,2,9,8,0.0,0.0
6,7,2,10,8,0.0,0.0
6,7,2,11,8,0.0,0.0
6,7,3,1,8,299781.57324091194,8384.835017628055
6,7,3,2,8,236978.86174816464,6827.235191151042
6,7,3,3,8,210209.6233763963,6830.793034007114
6,7,3,4,8,157061.70985562625,6086.093306425037
6,7,3,5,8,179812.57553298993,5248.02961083977
6,7,3,6,8,59915.065023872696,3243.992991971929
6,7,3,7,8,10397.615652528268,2264.3810525534045
6,7,3,8,8,0.0,0.0
6,7,3,9,8,0.0,0.0
6,7,3,10,8,0.0,0.0
6,7,3,11,8,0.0,0.0
6,7,4,1,8,168196.57824172825,2554.962730504555
6,7,4,2,8,125025.21368396869,2800.092333095754
6,7,4,3,8,103410.42742310715,2714.8906918690423
6,7,4,4,8,80811.90197184801,2429.9528078840135
6,7,4,5,8,87961.01191323074,2118.9373620650263
6,7,4,6,8,29205.948594793677,1112.4749205137448
6,7,4,7,8,2612.093092106858,483.52549670102803
6,7,4,8,8,0.0,0.0
6,7,4,9,8,0.0,0.0
6,7,4,10,8,0.0,0.0
6,7,4,11,8,0.0,0.0
6,7,5,1,8,90749.00069050601,1229.1656900221813
6,7,5,2,8,65366.08954209799,1347.8176986473431
6,7,5,3,8,43208.91328176901,1233.9930053957464
6,7,5,4,8,28578.62111064624,1061.2444684724908
6,7,5,5,8,23341.504942868814,946.7974566477737
6,7,5,6,8,4048.6223119636543,374.9274403371608
6,7,5,7,8,0.0,0.0
6,7,5,8,8,0.0,0.0
6,7,5,9,8,0.0,0.0
6,7,5,10,8,0.0,0.0
6,7,5,11,8,0.0,0.0
6,7,6,1,8,22253.86439704713,429.70141636807415
6,7,6,2,8,11970.950733368252,405.62015894808
6,7,6,3,8,4797.5793894989165,319.8978736810756
6,7,6,4,8,1706.0608647366935,241.71615681939753
6,7,6,5,8,0.0,0.0
6,7,6,6,8,0.0,0.0
6,7,6,7,8,0.0,0.0
6,7,6,8,8,0.0,0.0
6,7,6,9,8,0.0,0.0
6,7,6,10,8,0.0,0.0
6,7,6,11,8,0.0,0.0
6,7,7,1,8,0.0,0.0
6,7,7,2,8,0.0,0.0
6,7,7,3,8,0.0,0.0
6,7,7,4,8,0.0,0.0
6,7,7,5,8,0.0,0.0
6,7,7,6,8,0.0,0.0
6,7,7,7,8,0.0,0.0
6,7,7,8,8,0.0,0.0
6,7,7,9,8,0.0,0.0
6,7,7,10,8,0.0,0.0
6,7,7,11,8,0.0,0.0
6,7,8,1,8,0.0,0.0
6,7,8,2,8,0.0,0.0
6,7,8,3,8,0.0,0.0
6,7,8,4,8,0.0,0.0
6,7,8,5,8,0.0,0.0
6,7,8,6,8,0.0,0.0
6,7,8,7,8,0.0,0.0
6,7,8,8,8,0.0,0.0
6,7,8,9,8,0.0,0.0
6,7,8,10,8,0.0,0.0
6,7,8,11,8,0.0,0.0
7,8,1,1,8,0.0,0.0
7,8,1,2,8,0.0,0.0
7,8,1,3,8,0.0,0.0
7,8,1,4,8,0.0,0.0
7,8,1,5,8,0.0,0.0
7,8,1,6,8,0.0,0.0
7,8,1,7,8,0.0,0.0
7,8,1,8,8,0.0,0.0
7,8,1,9,8,0.0,0.0
7,8,1,10,8,0.0,0.0
7,8,1,11,8,0.0,0.0
7,8,2,1,8,0.0,0.0
7,8,2,2,8,0.0,0.0
7,8,2,3,8,0.0,0.0
7,8,2,4,8,0.0,0.0
7,8,2,5,8,0.0,0.0
7,8,2,6,8,0.0,0.0
7,8,2,7,8,0.0,0.0
7,8,2,8,8,0.0,0.0
7,8,2,9,8,0.0,0.0
7,8,2,10,8,0.0,0.0
7,8,2,11,8,0.0,0.0
7,8,3,1,8,146020.93108017356,8025.312109626068
7,8,3,2,8,138918.27318514974,6452.994223147943
7,8,3,3,8,116675.64837861717,8473.750561176237
7,8,3,4,8,85139.71434404387,5677.32081238259
7,8,3,5,8,51987.18977327349,3920.3547927535024
7,8,3,6,8,0.0,0.0
7,8,3,7,8,0.0,0.0
7,8,3,8,8,0.0,0.0
7,8,3,9,8,0.0,0.0
7,8,3,10,8,0.0,0.0
7,8,3,11,8,0.0,0.0
7,8,4,1,8,85196.02016830571,2226.0401932594864
7,8,4,2,8,61835.57981049076,2293.856382829123
7,8,4,3,8,44419.230699851134,1974.8225868960194
7,8,4,4,8,26931.12116646499,1692.3791663163738
7,8,4,5,8,11862.340386066397,917.8713604704571
7,8,4,6,8,0.0,0.0
7,8,4,7,8,0.0,0.0
7,8,4,8,8,0.0,0.0
7,8,4,9,8,0.0,0.0
7,8,4,10,8,0.0,0.0
7,8,4,11,8,0.0,0.0
7,8,5,1,8,32454.769932510786,783.1754232677595
7,8,5,2,8,17392.506820227725,825.7485054568184
7,8,5,3,8,4852.344261941413,579.0267818728299
7,8,5,4,8,0.0,0.0
7,8,5,5,8,0.0,0.0
7,8,5,6,8,0.0,0.0
7,8,5,7,8,0.0,0.0
7,8,5,8,8,0.0,0.0
7,8,5,9,8,0.0,0.0
7,8,5,10,8,0.0,0.0
7,8,5,11,8,0.0,0.0
7,8,6,1,8,221.2002549498267,55.12534985484468
7,8,6,2,8,0.0,0.0
7,8,6,3,8,0.0,0.0
7,8,6,4,8,0.0,0.0
7,8,6,5,8,0.0,0.0
7,8,6,6,8,0.0,0.0
7,8,6,7,8,0.0,0.0
7,8,6,8,8,0.0,0.0
7,8,6,9,8,0.0,0.0
7,8,6,10,8,0.0,0.0
7,8,6,11,8,0.0,0.0
7,8,7,1,8,0.0,0.0
7,8,7,2,8,0.0,0.0
7,8,7,3,8,0.0,0.0
7,8,7,4,8,0.0,0.0
7,8,7,5,8,0.0,0.0
7,8,7,6,8,0.0,0.0
7,8,7,7,8,0.0,0.0
7,8,7,8,8,0.0,0.0
7,8,7,9,8,0.0,0.0
7,8,7,10,8,0.0,0.0
7,8,7,11,8,0.0,0.0
7,8,8,1,8,0.0,0.0
7,8,8,2,8,0.0,0.0
7,8,8,3,8,0.0,0.0
7,8,8,4,8,0.0,0.0
7,8,8,5,8,0.0,0.0
7,8,8,6,8,0.0,0.0
7,8,8,7,8,0.0,0.0
7,8,8,8,8,0.0,0.0
7,8,8,9,8,0.0,0.0
7,8,8,10,8,0.0,0.0
7,8,8,11,8,0.0,0.0
8,9,1,1,8,12539497.069923604,315869.17594431137
8,9,1,2,8,5680785.751677906,118419.52234775052
8,9,1,3,8,2829173.1802208954,41853.98044271711
8,9,1,4,8,1577621.7838891144,26587.72823182008
8,9,1,5,8,1496976.2169869158,23844.71814361003
8,9,1,6,8,658375.7828292252,29887.904753778712
8,9,1,7,8,0.0,0.0
8,9,1,8,8,0.0,0.0
8,9,1,9,8,0.0,0.0
8,9,1,10,8,0.0,0.0
8,9,1,11,8,0.0,0.0
8,9,2,1,8,1183533.5062372724,21111.104641636728
8,9,2,2,8,784996.9861706903,10051.933940807221
8,9,2,3,8,597592.7916147846,6869.805376593365
8,9,2,4,8,436517.3242152024,4388.5894054729715
8,9,2,5,8,568158.6122227133,4125.619145311718
8,9,2,6,8,304822.3235207443,2690.0326939404326
8,9,2,7,8,166593.48937583767,2129.042933723031
8,9,2,8,8,117063.9243464881,2248.629034257714
8,9,2,9,8,57610.172704320714,2407.908573819844
8,9,2,10,8,0.0,0.0
