xq2_bin,z_bin,pt2_bin,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0
4,3,6,22175.2,8,177401.6,2,5
4,3,7,13215.7125,8,105725.7,2,6
4,3,8,8063.143333333333,6,48378.86,2,7
4,3,9,2884.044,5,14420.22,2,8
4,4,1,25559.875,8,204479.0,3,0
4,4,2,20594.5125,8,164756.1,3,1
4,4,3,16840.8875,8,134727.1,3,2
4,4,4,14408.25,8,115266.0,3,3
4,4,5,21570.175,8,172561.4,3,4
4,4,6,13656.71375,8,109253.71,3,5
4,4,7,8127.7375,8,65021.9,3,6
4,4,8,6887.9925,8,55103.94,3,7
4,4,9,2458.32,6,14749.92,3,8
4,4,10,728.4713333333334,6,4370.828,3,9
4,5,1,13812.2625,8,110498.1,4,0
4,5,2,10368.2375,8,82945.9,4,1
4,5,3,8507.7775,8,68062.22,4,2
4,5,4,8386.703333333333,6,50320.22,4,3
4,5,5,12884.0375,8,103072.3,4,4
4,5,6,8643.0275,8,69144.22,4,5
4,5,7,5664.03,8,45312.24,4,6
4,5,8,4572.762857142857,7,32009.34,4,7
4,5,9,1751.5557142857142,7,12260.89,4,8
4,5,10,646.4091666666667,6,3878.455,4,9
4,6,1,8544.77875,8,68358.23,5,0
4,6,2,7020.84,8,56166.72,5,1
4,6,3,5574.77,6,33448.62,5,2
4,6,4,5224.192,5,26120.96,5,3
4,6,5,7652.8099999999995,7,53569.67,5,4
4,6,6,5385.04375,8,43080.35,5,5
4,6,7,2788.4385714285713,7,19519.07,5,6
4,6,8,1711.5516666666665,6,10269.31,5,7
4,6,9,492.72016666666667,6,2956.321,5,8
4,6,10,199.443,1,199.443,5,9
4,7,1,3894.1575000000003,8,31153.260000000002,6,0
4,7,2,3107.292857142857,7,21751.05,6,1
4,7,3,2418.1066666666666,6,14508.64,6,2
4,7,4,1765.1475,4,7060.59,6,3
4,7,5,1953.0260000000003,5,9765.130000000001,6,4
4,7,6,925.7835,6,5554.701,6,5
4,7,7,269.96566666666666,3,809.897,6,6
4,8,1,111.5111,2,223.0222,7,0
5,2,1,155008.125,8,1240065.0,1,0
5,2,2,121080.5125,8,968644.1,1,1
5,2,3,100710.3875,8,805683.1,1,2
5,2,4,69424.65000000001,6,416547.9,1,3
5,2,5,100505.51666666666,6,603033.1,1,4
5,2,6,43062.8,4,172251.2,1,5
5,3,1,60826.8375,8,486614.7,2,0
5,3,2,47181.0,8,377448.0,2,1
5,3,3,40293.5875,8,322348.7,2,2
5,3,4,32969.9,8,263759.2,2,3
5,3,5,46204.2375,8,369633.9,2,4
5,3,6,23225.583333333332,6,139353.5,2,5
5,3,7,11424.523333333333,6,68547.14,2,6
5,3,8,4738.6224999999995,4,18954.489999999998,2,7
5,4,1,31814.65,8,254517.2,3,0
5,4,2,25070.575,8,200564.6,3,1
5,4,3,20727.825,8,165822.6,3,2
5,4,4,18159.0625,8,145272.5,3,3
5,4,5,23854.0,8,190832.0,3,4
5,4,6,14220.987500000001,8,113767.90000000001,3,5
5,4,7,6396.2,6,38377.2,3,6
5,4,8,3133.0399999999995,6,18798.239999999998,3,7
5,4,9,510.359,1,510.359,3,8
5,5,1,17594.3875,8,140755.1,4,0
