xq2_bin,z_bin_phiavg,pt2_bin_phiavg,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,content,error,_merge,diff(phiavg - spec),ratio(phiavg/spec),abs_rel_diff
1,6.0,8.0,4971.638333333333,6.0,29829.83,5.0,7.0,5.0,7.0,3333.32,157.665,both,1638.3183333333332,1.4914974659898639,0.4914974659898639
1,6.0,9.0,3124.021666666667,6.0,18744.13,5.0,8.0,5.0,8.0,2123.2,116.611,both,1000.8216666666672,1.4713741836222058,0.47137418362220573
1,6.0,10.0,2257.65,6.0,13545.9,5.0,9.0,5.0,9.0,1577.79,63.5759,both,679.8600000000001,1.4308938451885234,0.4308938451885233
1,6.0,11.0,1576.71125,8.0,12613.69,5.0,10.0,5.0,10.0,872.904,50.2963,both,703.8072500000001,1.8062825350783134,0.8062825350783134
1,7.0,1.0,4643.825,4.0,18575.3,6.0,0.0,6.0,0.0,2091.94,175.549,both,2551.8849999999998,2.219865292503609,1.2198652925036089
1,7.0,2.0,4152.733333333334,3.0,12458.2,6.0,1.0,6.0,1.0,1724.26,167.172,both,2428.4733333333334,2.40841481756425,1.40841481756425
1,7.0,3.0,4068.3766666666666,3.0,12205.13,6.0,2.0,6.0,2.0,1544.11,108.511,both,2524.2666666666664,2.634771270613277,1.6347712706132767
1,7.0,4.0,3289.4125,4.0,13157.65,6.0,3.0,6.0,3.0,1293.52,77.8553,both,1995.8925,2.5429931504731274,1.5429931504731276
1,7.0,5.0,5372.161999999999,5.0,26860.809999999998,6.0,4.0,6.0,4.0,2265.46,127.539,both,3106.7019999999993,2.371333857141596,1.3713338571415956
1,7.0,6.0,3676.023333333333,6.0,22056.14,6.0,5.0,6.0,5.0,1891.96,142.335,both,1784.063333333333,1.9429709578074235,0.9429709578074236
1,7.0,7.0,3029.865,6.0,18179.19,6.0,6.0,6.0,6.0,1562.27,109.387,both,1467.5949999999998,1.9393990795445089,0.9393990795445089
1,7.0,8.0,2966.9500000000003,6.0,17801.7,6.0,7.0,6.0,7.0,1518.69,104.022,both,1448.2600000000002,1.953624505330252,0.9536245053302519
1,7.0,9.0,1825.86,6.0,10955.16,6.0,8.0,6.0,8.0,769.301,60.9134,both,1056.5589999999997,2.3734013084605374,1.3734013084605372
1,7.0,10.0,1165.6666666666667,6.0,6994.0,6.0,9.0,6.0,9.0,310.344,44.1898,both,855.3226666666667,3.7560470531625123,2.7560470531625123
1,7.0,11.0,523.5590000000001,6.0,3141.3540000000003,6.0,10.0,6.0,10.0,76.4372,15.3351,both,447.12180000000006,6.849531380008687,5.849531380008687
1,8.0,1.0,1758.94,4.0,7035.76,7.0,0.0,7.0,0.0,676.642,90.0807,both,1082.298,2.5995134798017268,1.5995134798017265
1,8.0,2.0,1582.9966666666667,3.0,4748.99,7.0,1.0,7.0,1.0,443.909,40.5833,both,1139.0876666666668,3.566038685105881,2.5660386851058816
1,8.0,3.0,1462.6266666666668,3.0,4387.88,7.0,2.0,7.0,2.0,316.81,68.6543,both,1145.8166666666668,4.61673137422009,3.61673137422009
1,8.0,4.0,1258.4133333333332,3.0,3775.24,7.0,3.0,7.0,3.0,251.006,31.0566,both,1007.4073333333332,5.013479093461244,4.013479093461245
1,8.0,5.0,1806.6260000000002,5.0,9033.130000000001,7.0,4.0,7.0,4.0,297.54,39.8102,both,1509.0860000000002,6.071876050278954,5.071876050278955
1,8.0,6.0,1041.4456,5.0,5207.228,7.0,5.0,7.0,5.0,169.46,31.3905,both,871.9856,6.145672135017113,5.145672135017112
1,8.0,7.0,649.8168,5.0,3249.084,7.0,6.0,7.0,6.0,43.443,15.0784,both,606.3738,14.957917270906705,13.957917270906705
1,8.0,8.0,453.45925,4.0,1813.837,7.0,7.0,7.0,7.0,0.0,0.0,both,453.45925,,
1,,,,,,,,7.0,8.0,0.0,0.0,right_only,,,
1,,,,,,,,7.0,9.0,0.0,0.0,right_only,,,
1,,,,,,,,7.0,10.0,0.0,0.0,right_only,,,
2,1.0,1.0,1971100.0,7.0,13797700.0,0.0,0.0,0.0,0.0,2212.8,669.246,both,1968887.2,890.7718727404193,889.7718727404193
2,1.0,2.0,688071.875,8.0,5504575.0,0.0,1.0,0.0,1.0,2112.11,472.587,both,685959.765,325.7746400518912,324.7746400518912
2,1.0,3.0,363614.75,8.0,2908918.0,0.0,2.0,0.0,2.0,1452.09,257.185,both,362162.66,250.4078603943282,249.40786039432817
2,1.0,4.0,201900.25,8.0,1615202.0,0.0,3.0,0.0,3.0,800.832,146.415,both,201099.418,252.11311486054504,251.11311486054504
2,1.0,5.0,189179.75,8.0,1513438.0,0.0,4.0,0.0,4.0,326.344,56.634,both,188853.406,579.6942796558233,578.6942796558233
2,1.0,6.0,59635.5,1.0,59635.5,0.0,5.0,0.0,5.0,0.0,0.0,both,59635.5,,
2,,,,,,,,0.0,6.0,0.0,0.0,right_only,,,
2,,,,,,,,0.0,7.0,0.0,0.0,right_only,,,
2,,,,,,,,0.0,8.0,0.0,0.0,right_only,,,
2,,,,,,,,0.0,9.0,0.0,0.0,right_only,,,
2,,,,,,,,0.0,10.0,0.0,0.0,right_only,,,
2,2.0,1.0,166034.16666666666,6.0,996205.0,1.0,0.0,1.0,0.0,17624.4,3151.27,both,148409.76666666666,9.4206989552363,8.4206989552363
2,2.0,2.0,117971.0,8.0,943768.0,1.0,1.0,1.0,1.0,14901.3,1920.75,both,103069.7,7.916826048734004,6.916826048734003
2,2.0,3.0,79114.7125,8.0,632917.7,1.0,2.0,1.0,2.0,14372.7,1295.82,both,64742.0125,5.504512895976399,4.504512895976399
2,2.0,4.0,61236.325,8.0,489890.6,1.0,3.0,1.0,3.0,10157.0,803.543,both,51079.325,6.028977552426897,5.028977552426897
2,2.0,5.0,74254.875,8.0,594039.0,1.0,4.0,1.0,4.0,10730.6,718.981,both,63524.275,6.919918271112519,5.919918271112519
2,2.0,6.0,40941.3875,8.0,327531.1,1.0,5.0,1.0,5.0,3701.67,216.962,both,37239.7175,11.060247807070862,10.060247807070862
2,2.0,7.0,23457.9125,8.0,187663.3,1.0,6.0,1.0,6.0,998.488,129.977,both,22459.424499999997,23.493434573074484,22.493434573074484
2,2.0,8.0,18265.125,8.0,146121.0,1.0,7.0,1.0,7.0,213.444,25.6553,both,18051.681,85.57338224546017,84.57338224546018
2,2.0,9.0,10890.0,1.0,10890.0,1.0,8.0,1.0,8.0,0.0,0.0,both,10890.0,,
2,,,,,,,,1.0,9.0,0.0,0.0,right_only,,,
2,,,,,,,,1.0,10.0,0.0,0.0,right_only,,,
2,3.0,1.0,58334.4125,8.0,466675.3,2.0,0.0,2.0,0.0,12812.1,999.303,both,45522.3125,4.553071900781292,3.5530719007812928
2,3.0,2.0,46378.1,6.0,278268.6,2.0,1.0,2.0,1.0,11369.7,650.158,both,35008.399999999994,4.079096194270737,3.079096194270736
2,3.0,3.0,38898.825,8.0,311190.6,2.0,2.0,2.0,2.0,10774.9,429.411,both,28123.924999999996,3.610133272698586,2.610133272698586
2,3.0,4.0,29910.774999999998,8.0,239286.19999999998,2.0,3.0,2.0,3.0,10755.9,399.735,both,19154.875,2.7808714287042458,1.7808714287042462
2,3.0,5.0,40646.5375,8.0,325172.3,2.0,4.0,2.0,4.0,15733.0,700.515,both,24913.5375,2.5835211021419946,1.5835211021419944
2,3.0,6.0,25129.4125,8.0,201035.3,2.0,5.0,2.0,5.0,8762.24,266.912,both,16367.172499999999,2.867921045303484,1.867921045303484
2,3.0,7.0,14641.5375,8.0,117132.3,2.0,6.0,2.0,6.0,4286.21,179.753,both,10355.3275,3.4159636368726685,2.415963636872668
2,3.0,8.0,11847.325,8.0,94778.6,2.0,7.0,2.0,7.0,2591.24,96.8261,both,9256.085000000001,4.572067813093346,3.572067813093346
2,3.0,9.0,5780.72375,8.0,46245.79,2.0,8.0,2.0,8.0,785.536,77.4833,both,4995.18775,7.35895458642252,6.35895458642252
2,3.0,10.0,3753.135,8.0,30025.08,2.0,9.0,2.0,9.0,161.762,38.5925,both,3591.373,23.201586281079614,22.20158628107961
2,3.0,11.0,3742.9019999999996,7.0,26200.314,2.0,10.0,2.0,10.0,0.0,0.0,both,3742.9019999999996,,
2,4.0,1.0,25640.5125,8.0,205124.1,3.0,0.0,3.0,0.0,8253.81,498.267,both,17386.7025,3.106506268014408,2.106506268014408
2,4.0,2.0,23001.342857142856,7.0,161009.4,3.0,1.0,3.0,1.0,6985.17,359.859,both,16016.172857142856,3.292882328868568,2.292882328868568
2,4.0,3.0,17848.833333333332,6.0,107093.0,3.0,2.0,3.0,2.0,5887.79,333.034,both,11961.043333333331,3.0314996515387493,2.031499651538749
2,4.0,4.0,15819.266666666668,6.0,94915.6,3.0,3.0,3.0,3.0,5777.3,294.924,both,10041.966666666667,2.7381764261275454,1.7381764261275452
2,4.0,5.0,23441.325,8.0,187530.6,3.0,4.0,3.0,4.0,10706.0,362.604,both,12735.325,2.1895502521950307,1.189550252195031
2,4.0,6.0,16081.6875,8.0,128653.5,3.0,5.0,3.0,5.0,7854.69,195.13,both,8226.997500000001,2.04739938813626,1.0473993881362602
2,4.0,7.0,10230.088749999999,8.0,81840.70999999999,3.0,6.0,3.0,6.0,4992.89,175.373,both,5237.198749999999,2.04893133035176,1.0489313303517598
2,4.0,8.0,8847.90875,8.0,70783.27,3.0,7.0,3.0,7.0,4108.43,170.373,both,4739.47875,2.153598515734721,1.153598515734721
2,4.0,9.0,4640.78125,8.0,37126.25,3.0,8.0,3.0,8.0,1684.2,73.4014,both,2956.58125,2.7554810889443058,1.755481088944306
2,4.0,10.0,2802.91625,8.0,22423.33,3.0,9.0,3.0,9.0,779.96,34.4607,both,2022.9562500000002,3.5936666623929434,2.5936666623929434
