xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
11,12,5,1,8,12183.112757417386,139.42381544140503
11,12,5,2,8,9595.305736552289,175.69392329059107
11,12,5,3,8,8185.8059218494955,191.91377819824092
11,12,5,4,8,6206.754574530291,150.82330308382362
11,12,5,5,8,9416.014465933364,191.06820883188135
11,12,5,6,8,5434.587164559681,140.02221822367576
11,12,5,7,8,2814.160908097654,103.85877054651378
11,12,5,8,8,1014.6790209898933,41.51422577196423
11,12,5,9,8,181.34400462812548,34.78960617246474
11,12,5,10,8,0.0,0.0
11,12,5,11,8,0.0,0.0
11,12,6,1,8,6409.553710396975,81.46615684219822
11,12,6,2,8,5141.9277130068385,99.87051108746346
11,12,6,3,8,4047.861554545257,124.26560697846554
11,12,6,4,8,2612.1967800372286,92.49231408620757
11,12,6,5,8,3156.8145851965246,122.67928586023028
11,12,6,6,8,1378.4725321205242,67.06453711639561
11,12,6,7,8,377.08184446188176,22.122305671506343
11,12,6,8,8,89.93976269295567,13.102544984576578
11,12,6,9,8,0.0,0.0
11,12,6,10,8,0.0,0.0
11,12,6,11,8,0.0,0.0
11,12,7,1,8,1274.548952602439,32.005781501995976
11,12,7,2,8,848.1956880770008,39.202096387964296
11,12,7,3,8,335.98442111317456,26.24982298656428
11,12,7,4,8,119.74115907015124,13.373880876769944
11,12,7,5,8,51.063766984593606,7.454331415797423
11,12,7,6,8,0.0,0.0
11,12,7,7,8,0.0,0.0
11,12,7,8,8,0.0,0.0
11,12,7,9,8,0.0,0.0
11,12,7,10,8,0.0,0.0
11,12,7,11,8,0.0,0.0
11,12,8,1,8,0.0,0.0
11,12,8,2,8,0.0,0.0
11,12,8,3,8,0.0,0.0
11,12,8,4,8,0.0,0.0
11,12,8,5,8,0.0,0.0
11,12,8,6,8,0.0,0.0
11,12,8,7,8,0.0,0.0
11,12,8,8,8,0.0,0.0
11,12,8,9,8,0.0,0.0
11,12,8,10,8,0.0,0.0
11,12,8,11,8,0.0,0.0
12,13,1,1,8,0.0,0.0
12,13,1,2,8,0.0,0.0
12,13,1,3,8,0.0,0.0
12,13,1,4,8,0.0,0.0
12,13,1,5,8,0.0,0.0
12,13,1,6,8,0.0,0.0
12,13,1,7,8,0.0,0.0
12,13,1,8,8,0.0,0.0
12,13,1,9,8,0.0,0.0
12,13,1,10,8,0.0,0.0
12,13,1,11,8,0.0,0.0
12,13,2,1,8,123144.06022285145,5105.029138283624
12,13,2,2,8,100942.86209472617,7091.780522506912
12,13,2,3,8,54224.14514242578,2586.4435908673677
12,13,2,4,8,33796.7472396808,2700.5351158841677
12,13,2,5,8,22555.766767784706,1060.8460803144974
12,13,2,6,8,0.0,0.0
12,13,2,7,8,0.0,0.0
12,13,2,8,8,0.0,0.0
12,13,2,9,8,0.0,0.0
12,13,2,10,8,0.0,0.0
12,13,2,11,8,0.0,0.0
12,13,3,1,8,57993.175735409684,980.8586146324823
12,13,3,2,8,42068.20856319388,790.5599770087642
12,13,3,3,8,33064.142373835944,868.1807177950577
12,13,3,4,8,31537.01109784272,2095.7551683712613
12,13,3,5,8,22556.93819097914,494.5621394384698
12,13,3,6,8,7782.182634394485,367.99625072117266
12,13,3,7,8,1117.4427226438763,103.75273764952148
12,13,3,8,8,0.0,0.0
12,13,3,9,8,0.0,0.0
12,13,3,10,8,0.0,0.0
12,13,3,11,8,0.0,0.0
12,13,4,1,8,30420.38499053536,360.9731842472352
12,13,4,2,8,22987.730550152075,352.64680150257374
12,13,4,3,8,17540.30858993224,292.0195247164036
