xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
2,3,6,2,5,35929.67835874972,1588.85727332647
2,3,6,3,5,36463.82818963821,2217.296357655695
2,3,6,4,5,26678.566793605838,1013.1348293871215
2,3,6,5,6,53826.36272456143,1549.7712073718515
2,3,6,6,6,36775.29703479183,779.860267836851
2,3,6,7,6,29276.565400562584,637.8141039612638
2,3,6,8,6,28593.24725953415,536.3945845689536
2,3,6,9,6,15691.122555114356,376.33860459999045
2,3,6,10,7,12340.912481400326,426.95611510690696
2,3,6,11,8,7067.716350558508,336.8013937022543
2,3,7,1,8,38009.30237985362,1256.8440856376556
2,3,7,2,5,24151.899217455415,1113.894383136388
2,3,7,3,4,19388.963495255208,1709.14078854916
2,3,7,4,4,13034.226746450713,751.4553272261543
2,3,7,5,5,26171.342330324856,794.6688317183329
2,3,7,6,5,18378.152413153053,499.6326809365564
2,3,7,7,6,16109.647376930325,494.5262009865112
2,3,7,8,6,13394.202486728544,372.3065124831958
2,3,7,9,6,6086.673230093169,236.34311737734788
2,3,7,10,5,2334.193972019441,150.52133020335373
2,3,7,11,2,312.25457949206157,54.83240991893713
2,3,8,1,8,13994.492882113369,734.4020341242408
2,3,8,2,3,3425.471489939324,166.0679333989018
2,3,8,3,3,2976.7027967167987,170.3923371644656
2,3,8,4,3,2477.485965009586,163.77644518882371
2,3,8,5,5,5840.7524856191185,660.7823078062954
2,3,8,6,3,2250.4331224715093,289.46240937674224
2,3,8,7,1,267.5939607554316,45.52552895996633
3,4,1,1,6,7365596.800627325,527607.4709693287
3,4,1,2,8,5114417.741130075,353016.7736563752
3,4,1,3,7,2350551.0046732374,121213.51238300558
3,4,1,4,4,866746.5453028873,50381.983182443706
3,4,1,5,5,859718.3578555803,80055.50959433091
3,4,2,1,8,968290.7354885434,35688.46029607933
3,4,2,2,8,766673.0019603429,25165.276009875575
3,4,2,3,8,547603.5931296921,8207.867845163162
3,4,2,4,8,399155.7602977563,7948.994372019895
3,4,2,5,8,521257.6619785499,7493.329600590676
3,4,2,6,8,299512.21551329835,8184.616576841911
3,4,2,7,6,116293.83018141516,4166.8045839523775
3,4,2,8,3,48589.75520911648,3988.968797717288
3,4,3,1,8,394095.588519037,6604.257180530823
3,4,3,2,8,298086.4067060735,7255.618551694348
3,4,3,3,8,245615.3867652155,5732.850212958889
3,4,3,4,8,208479.19714283023,3259.6556957638095
3,4,3,5,8,271334.39589294896,3540.3881004158784
3,4,3,6,8,164790.6373659758,2460.050825140391
3,4,3,7,8,96234.06976779089,1788.1738727822333
3,4,3,8,8,75147.99868688107,2003.2243759055116
3,4,3,9,7,32389.7546052017,2692.8653157801405
3,4,3,10,5,9649.255358415987,1060.090453787503
3,4,4,1,8,175144.40699328287,3479.954927701296
3,4,4,2,8,148809.54523535704,3292.0153274380564
3,4,4,3,6,90964.35596490158,2064.8470839324605
3,4,4,4,7,95703.3587805771,4886.999110889941
3,4,4,5,8,155200.29499975438,3041.3526986560473
3,4,4,6,8,102452.46021273528,2144.2166369630486
3,4,4,7,8,65497.406782856895,1508.7637474480655
3,4,4,8,8,55674.69171955106,1057.6904124064533
