xq2_bin,ybin,z_bin,pt2_bin,phi_bin,phi_center_deg,content,error
0,1,7,8,5,202.5,0,0
0,1,7,8,6,247.5,0,0
0,1,7,8,7,292.5,0,0
0,1,7,8,8,337.5,0,0
0,1,7,9,1,22.5,0,0
0,1,7,9,2,67.5,0,0
0,1,7,9,3,112.5,0,0
0,1,7,9,4,157.5,0,0
0,1,7,9,5,202.5,0,0
0,1,7,9,6,247.5,0,0
0,1,7,9,7,292.5,0,0
0,1,7,9,8,337.5,0,0
0,1,7,10,1,22.5,0,0
0,1,7,10,2,67.5,0,0
0,1,7,10,3,112.5,0,0
0,1,7,10,4,157.5,0,0
0,1,7,10,5,202.5,0,0
0,1,7,10,6,247.5,0,0
0,1,7,10,7,292.5,0,0
0,1,7,10,8,337.5,0,0
0,1,7,11,1,22.5,0,0
0,1,7,11,2,67.5,0,0
0,1,7,11,3,112.5,0,0
0,1,7,11,4,157.5,0,0
0,1,7,11,5,202.5,0,0
0,1,7,11,6,247.5,0,0
0,1,7,11,7,292.5,0,0
0,1,7,11,8,337.5,0,0
0,1,8,1,1,22.5,0,0
0,1,8,1,2,67.5,0,0
0,1,8,1,3,112.5,0,0
0,1,8,1,4,157.5,0,0
0,1,8,1,5,202.5,0,0
0,1,8,1,6,247.5,0,0
0,1,8,1,7,292.5,0,0
0,1,8,1,8,337.5,0,0
0,1,8,2,1,22.5,0,0
0,1,8,2,2,67.5,0,0
0,1,8,2,3,112.5,0,0
0,1,8,2,4,157.5,0,0
0,1,8,2,5,202.5,0,0
0,1,8,2,6,247.5,0,0
0,1,8,2,7,292.5,0,0
0,1,8,2,8,337.5,0,0
0,1,8,3,1,22.5,0,0
0,1,8,3,2,67.5,0,0
0,1,8,3,3,112.5,0,0
0,1,8,3,4,157.5,0,0
0,1,8,3,5,202.5,0,0
0,1,8,3,6,247.5,0,0
0,1,8,3,7,292.5,0,0
0,1,8,3,8,337.5,0,0
0,1,8,4,1,22.5,0,0
0,1,8,4,2,67.5,0,0
0,1,8,4,3,112.5,0,0
0,1,8,4,4,157.5,0,0
0,1,8,4,5,202.5,0,0
0,1,8,4,6,247.5,0,0
0,1,8,4,7,292.5,0,0
0,1,8,4,8,337.5,0,0
0,1,8,5,1,22.5,0,0
0,1,8,5,2,67.5,0,0
0,1,8,5,3,112.5,0,0
0,1,8,5,4,157.5,0,0
0,1,8,5,5,202.5,0,0
0,1,8,5,6,247.5,0,0
0,1,8,5,7,292.5,0,0
0,1,8,5,8,337.5,0,0
0,1,8,6,1,22.5,0,0
0,1,8,6,2,67.5,0,0
0,1,8,6,3,112.5,0,0
0,1,8,6,4,157.5,0,0
0,1,8,6,5,202.5,0,0
0,1,8,6,6,247.5,0,0
0,1,8,6,7,292.5,0,0
0,1,8,6,8,337.5,0,0
0,1,8,7,1,22.5,0,0
0,1,8,7,2,67.5,0,0
0,1,8,7,3,112.5,0,0
0,1,8,7,4,157.5,0,0
0,1,8,7,5,202.5,0,0
0,1,8,7,6,247.5,0,0
0,1,8,7,7,292.5,0,0
0,1,8,7,8,337.5,0,0
0,1,8,8,1,22.5,0,0
0,1,8,8,2,67.5,0,0
0,1,8,8,3,112.5,0,0
0,1,8,8,4,157.5,0,0
0,1,8,8,5,202.5,0,0
0,1,8,8,6,247.5,0,0
0,1,8,8,7,292.5,0,0
0,1,8,8,8,337.5,0,0
0,1,8,9,1,22.5,0,0
0,1,8,9,2,67.5,0,0
0,1,8,9,3,112.5,0,0
0,1,8,9,4,157.5,0,0
0,1,8,9,5,202.5,0,0
0,1,8,9,6,247.5,0,0
0,1,8,9,7,292.5,0,0
0,1,8,9,8,337.5,0,0
0,1,8,10,1,22.5,0,0
0,1,8,10,2,67.5,0,0
0,1,8,10,3,112.5,0,0
0,1,8,10,4,157.5,0,0
0,1,8,10,5,202.5,0,0
0,1,8,10,6,247.5,0,0
0,1,8,10,7,292.5,0,0
0,1,8,10,8,337.5,0,0
0,1,8,11,1,22.5,0,0
0,1,8,11,2,67.5,0,0
0,1,8,11,3,112.5,0,0
0,1,8,11,4,157.5,0,0
0,1,8,11,5,202.5,0,0
0,1,8,11,6,247.5,0,0
0,1,8,11,7,292.5,0,0
0,1,8,11,8,337.5,0,0
1,2,1,1,1,22.5,460.213,91.0432
1,2,1,1,2,67.5,910.022,101.93
1,2,1,1,3,112.5,4733.91,233.573
1,2,1,1,4,157.5,1803.82,203.531
1,2,1,1,5,202.5,4615.28,191.434
1,2,1,1,6,247.5,4383,157.007
1,2,1,1,7,292.5,1196.02,104.334
1,2,1,1,8,337.5,210.991,45.5442
