xq2_bin,z0,pt20,phi_content_sum,phi_bin_count,spec_content,nophi_content,ratio(phi/spec),ratio(phi/nophi),ratio(nophi/spec)
1,0,0,10316.214,8.0,8990.04,15963.2,1.1475159176154943,0.6462497494236744,1.7756539459223761
1,0,1,10184.23,8.0,9273.77,18760.8,1.0981758227775757,0.5428462538910921,2.022996041523566
1,0,1,10184.23,8.0,9273.77,18760.8,1.0981758227775757,0.5428462538910921,2.022996041523566
1,0,2,8228.566,8.0,7695.57,18084.2,1.069260106788711,0.45501410070669424,2.3499493864652004
1,0,2,8228.566,8.0,7695.57,18084.2,1.069260106788711,0.45501410070669424,2.3499493864652004
1,0,3,4822.7519999999995,8.0,4548.12,12962.4,1.0603836310387589,0.3720570264765784,2.8500567267354424
1,0,3,4822.7519999999995,8.0,4548.12,12962.4,1.0603836310387589,0.3720570264765784,2.8500567267354424
1,0,4,3309.516,8.0,3034.77,10520.1,1.0905327257090323,0.31458978526820086,3.466522998447988
1,0,4,3309.516,8.0,3034.77,10520.1,1.0905327257090323,0.31458978526820086,3.466522998447988
1,0,5,27.3093,8.0,155.988,1515.44,0.17507308254481113,0.01802070685741435,9.715106290227453
1,0,5,27.3093,8.0,155.988,1515.44,0.17507308254481113,0.01802070685741435,9.715106290227453
1,0,6,0.0,8.0,0.0,0.0,,,
1,0,6,0.0,8.0,0.0,0.0,,,
1,0,7,0.0,8.0,0.0,0.0,,,
1,0,7,0.0,8.0,0.0,0.0,,,
1,0,8,0.0,8.0,0.0,0.0,,,
1,0,8,0.0,8.0,0.0,0.0,,,
1,0,9,0.0,8.0,0.0,0.0,,,
1,0,9,0.0,8.0,0.0,0.0,,,
1,0,10,0.0,8.0,0.0,0.0,,,
1,0,10,0.0,8.0,0.0,0.0,,,
1,1,0,24197.05,8.0,21099.7,20573.7,1.1467959260084266,1.1761156233443668,0.9750707356028758
1,1,0,24197.05,8.0,21099.7,20573.7,1.1467959260084266,1.1761156233443668,0.9750707356028758
1,1,1,27764.600000000002,8.0,21785.8,26977.7,1.2744356415646891,1.0291685354941305,1.2383157836756054
1,1,1,27764.600000000002,8.0,21785.8,26977.7,1.2744356415646891,1.0291685354941305,1.2383157836756054
1,1,2,27701.549,8.0,23889.3,31169.6,1.1595797700225623,0.8887361082593296,1.3047514996253553
1,1,2,27701.549,8.0,23889.3,31169.6,1.1595797700225623,0.8887361082593296,1.3047514996253553
1,1,3,23232.074,8.0,19958.0,28274.4,1.1640482012225675,0.8216646153410859,1.416695059625213
1,1,3,23232.074,8.0,19958.0,28274.4,1.1640482012225675,0.8216646153410859,1.416695059625213
1,1,4,28693.273,8.0,25367.1,42570.0,1.131121531432446,0.6740256753582335,1.67815792897099
1,1,4,28693.273,8.0,25367.1,42570.0,1.131121531432446,0.6740256753582335,1.67815792897099
1,1,5,13190.357,8.0,11620.9,24198.7,1.1350546859537558,0.5450853558248997,2.082343019903794
1,1,5,13190.357,8.0,11620.9,24198.7,1.1350546859537558,0.5450853558248997,2.082343019903794
1,1,6,5051.572,8.0,4342.97,11315.6,1.1631606941793289,0.4464254657287285,2.6054980808064525
1,1,6,5051.572,8.0,4342.97,11315.6,1.1631606941793289,0.4464254657287285,2.6054980808064525
1,1,7,1893.057,8.0,1563.08,5605.11,1.211106917112368,0.3377377071993235,3.5859392993320878
1,1,7,1893.057,8.0,1563.08,5605.11,1.211106917112368,0.3377377071993235,3.5859392993320878
1,1,8,41.3433,8.0,156.991,1111.81,0.26334821741373704,0.03718558027001016,7.081998331114521
1,1,8,41.3433,8.0,156.991,1111.81,0.26334821741373704,0.03718558027001016,7.081998331114521
1,1,9,0.0,8.0,0.0,108.007,,0.0,
1,1,9,0.0,8.0,0.0,108.007,,0.0,
1,1,10,0.0,8.0,0.0,0.0,,,
1,1,10,0.0,8.0,0.0,0.0,,,
1,2,0,14034.539,8.0,-10187.4,6672.8,-1.37763698293971,2.103245863805299,-0.6550052025050553
1,2,0,14034.539,8.0,-10187.4,6672.8,-1.37763698293971,2.103245863805299,-0.6550052025050553
1,2,1,15325.82,8.0,11901.7,12019.4,1.2877000764596653,1.2750902707289882,1.0098893435391583
