xq2_bin,z_bin0,pt2_bin0,phi_content_sum,phi_error_sum,phi_bin_count,z_bin,pt2_bin,spec_content,spec_error,_merge,diff_phi_minus_spec,ratio_phi_over_spec
1,2,9,9097.208,98.22938868750025,8,2.0,9.0,10023.7,375.792,both,-926.4920000000002,0.9075698594331434
1,2,10,1891.6692,44.810867990871365,8,2.0,10.0,2418.05,138.171,both,-526.3808000000001,0.782311862864705
1,3,0,54716.301,314.3822093547757,8,3.0,0.0,54253.7,2973.41,both,462.6010000000024,1.0085266258338141
1,3,1,55548.665,314.69610751575874,8,3.0,1.0,55362.1,2289.75,both,186.56500000000233,1.003369904682084
1,3,2,53964.823599999996,261.0833553209204,8,3.0,2.0,52760.0,2139.35,both,1204.823599999996,1.0228359287338893
1,3,3,50935.182199999996,248.47504043056395,8,3.0,3.0,50319.3,2488.42,both,615.8821999999927,1.0122394826637093
1,3,4,92897.781,332.87944308102,8,3.0,4.0,91347.9,3461.9,both,1549.8810000000085,1.0169667939821279
1,3,5,68824.729,279.54054386855944,8,3.0,5.0,70085.0,2597.89,both,-1260.2709999999934,0.9820179639009775
1,3,6,47915.971,229.61882544924316,8,3.0,6.0,49323.9,1702.28,both,-1407.9290000000037,0.9714554404659809
1,3,7,43852.406,219.3537675621278,8,3.0,7.0,46078.7,1478.21,both,-2226.2939999999944,0.9516849650706293
1,3,8,23118.02,157.00228915955333,8,3.0,8.0,25366.1,860.422,both,-2248.079999999998,0.9113746299194595
1,3,9,14813.229,124.88858910340849,8,3.0,9.0,16340.2,599.409,both,-1526.9710000000014,0.906551266202372
1,3,10,8488.753,94.16709560924134,8,3.0,10.0,9870.31,356.538,both,-1381.5569999999989,0.8600290163125577
1,4,0,39296.04,237.78150305334938,8,4.0,0.0,38839.2,2830.72,both,456.8400000000038,1.011762343199654
1,4,1,34384.5417,208.11042522644752,8,4.0,1.0,34392.8,1732.08,both,-8.258300000001327,0.9997598828824638
1,4,2,31191.8727,194.08293397913067,8,4.0,2.0,31256.3,1421.41,both,-64.42729999999938,0.997938741949623
1,4,3,29034.46,181.10506741046757,8,4.0,3.0,29437.0,1310.29,both,-402.5400000000009,0.9863253728301117
1,4,4,54234.7374,246.26902916716912,8,4.0,4.0,54117.7,2223.22,both,117.03740000000107,1.002162645493064
1,4,5,43268.1731,217.22726738991884,8,4.0,5.0,44154.6,1677.13,both,-886.4268999999986,0.9799244721954224
1,4,6,32075.079999999998,188.14288009515533,8,4.0,6.0,33375.9,1151.85,both,-1300.8200000000033,0.9610251708568157
1,4,7,31217.9399,183.68325222531857,8,4.0,7.0,32840.8,1175.73,both,-1622.8601000000017,0.9505840265766973
1,4,8,17498.568,136.41090645842803,8,4.0,8.0,19357.4,898.541,both,-1858.8320000000022,0.9039730542324897
1,4,9,11757.965,111.29403165129746,8,4.0,9.0,13371.0,505.906,both,-1613.0349999999999,0.8793631740333557
1,4,10,7675.433,89.65735918646054,8,4.0,10.0,9324.3,386.199,both,-1648.8669999999993,0.8231645270958678
1,5,0,25327.694,179.27812770882008,8,5.0,0.0,25697.2,1483.21,both,-369.5060000000012,0.9856207680214186
1,5,1,20650.118,155.18621513630004,8,5.0,1.0,20718.9,1097.23,both,-68.78200000000288,0.996680229162745
1,5,2,17725.5947,141.53231072142538,8,5.0,2.0,18600.7,1089.64,both,-875.1052999999993,0.9529530985393023
1,5,3,15507.11123,129.821067787576,8,5.0,3.0,16225.0,1007.63,both,-717.8887699999996,0.9557541590138675
1,5,4,27602.43,175.95256436559828,8,5.0,4.0,28823.0,1526.76,both,-1220.5699999999997,0.9576529160739687
1,5,5,22881.63,156.3497052496742,8,5.0,5.0,23817.4,1320.13,both,-935.7700000000004,0.9607106569146926
1,5,6,17750.742,137.36729564335903,8,5.0,6.0,18933.6,1068.5,both,-1182.8580000000002,0.9375259855494993
1,5,7,18319.5,139.21181682874482,8,5.0,7.0,19437.6,1036.19,both,-1118.0999999999985,0.942477466353871
1,5,8,10470.619,104.6616398894552,8,5.0,8.0,11649.6,566.177,both,-1178.9809999999998,0.8987964393627249
1,5,9,6733.3609,84.05119960851243,8,5.0,9.0,7875.15,345.265,both,-1141.7891,0.8550136695808969
1,5,10,3359.8808,59.591883975226025,8,5.0,10.0,4143.56,210.32,both,-783.6792000000005,0.8108681423703288
1,6,0,13156.357,123.53094049273646,8,6.0,0.0,13858.6,1294.9,both,-702.2430000000004,0.9493279984991269
1,6,1,9889.644100000001,105.25490318532862,8,6.0,1.0,10648.4,733.582,both,-758.7558999999983,0.9287446095188011
1,6,2,8017.5108,92.92769778185513,8,6.0,2.0,8491.29,616.412,both,-473.77920000000086,0.9442040961973974
1,6,3,6799.8315999999995,84.84854168446267,8,6.0,3.0,7348.8,469.384,both,-548.9684000000007,0.9252982255606357
1,6,4,11398.556,111.33399407467604,8,6.0,4.0,12227.8,764.148,both,-829.2439999999988,0.932183712523921
