xq2_bin,z_bin,pt2_bin,phi_content_sum,phi_bin_count,phi_error_sum,z_bin0,pt2_bin0
1,7,7,6764.906999999999,8,85.19044965076779,6,6
1,7,8,6227.461,8,80.34557559841114,6,7
1,7,9,2692.782,8,53.21252907624294,6,8
1,7,10,1061.4303,8,33.679495278921564,6,9
1,7,11,92.1442,8,10.333774139591982,6,10
1,8,1,2587.6612,8,54.425996227240525,7,0
1,8,2,1904.0872,8,45.48070614111549,7,1
1,8,3,1239.1286,8,36.80538158819305,7,2
1,8,4,851.2339999999999,8,30.181325553560434,7,3
1,8,5,1017.3964,8,32.90350673428138,7,4
1,8,6,370.2343,8,20.070354917761172,7,5
1,8,7,57.123830000000005,8,8.396027253409795,7,6
1,8,8,0.0,8,0.0,7,7
1,8,9,0.0,8,0.0,7,8
1,8,10,0.0,8,0.0,7,9
1,8,11,0.0,8,0.0,7,10
2,1,1,12029.667,8,278.39279893181504,0,0
2,1,2,10494.88,8,169.9678919281227,0,1
2,1,3,6692.3478,8,101.83230493158838,0,2
2,1,4,3391.5913,8,66.00836001378916,0,3
2,1,5,1374.546,8,40.386111171911566,0,4
2,1,6,0.0,8,0.0,0,5
2,1,7,0.0,8,0.0,0,6
2,1,8,0.0,8,0.0,0,7
2,1,9,0.0,8,0.0,0,8
2,1,10,0.0,8,0.0,0,9
2,1,11,0.0,8,0.0,0,10
2,2,1,116586.32,8,705.5379705865872,1,0
2,2,2,98901.985,8,491.1364196001148,1,1
2,2,3,89495.02,8,383.67987856266325,1,2
2,2,4,64251.31,8,293.7449041799364,1,3
2,2,5,69193.06,8,302.4474116657307,1,4
2,2,6,25679.367,8,171.60437883230136,1,5
2,2,7,7562.302,8,91.33260938004015,1,6
2,2,8,1328.6868,8,37.66601922004634,1,7
2,2,9,0.0,8,0.0,1,8
2,2,10,0.0,8,0.0,1,9
2,2,11,0.0,8,0.0,1,10
2,3,1,106119.23,8,538.9904849164686,2,0
2,3,2,90894.966,8,412.08293199045505,2,1
2,3,3,81779.203,8,340.10422477064293,2,2
2,3,4,75308.08,8,306.1692182677089,2,3
2,3,5,112109.87,8,375.8206620241362,2,4
2,3,6,61486.82,8,267.3068309659519,2,5
2,3,7,32749.21,8,189.33854674793508,2,6
2,3,8,22579.632,8,155.64270687581222,2,7
2,3,9,7045.7959,8,86.18367341669419,2,8
2,3,10,1777.282,8,42.97696308523905,2,9
2,3,11,14.9516,8,4.42657,2,10
2,4,1,80665.63,8,385.21376350253894,3,0
2,4,2,64809.0,8,298.2632924660358,3,1
2,4,3,54500.683000000005,8,260.41193287174843,3,2
2,4,4,49428.318999999996,8,240.55444798365298,3,3
2,4,5,88067.094,8,322.2559175607176,3,4
2,4,6,60684.195999999996,8,259.95682850483075,3,5
2,4,7,37334.814,8,201.61482876447855,3,6
2,4,8,29754.156,8,178.7934417924494,3,7
2,4,9,13124.866,8,117.52108332218522,3,8
2,4,10,6862.361,8,84.98557858478107,3,9
2,4,11,2341.3989,8,49.53625173042466,3,10
2,5,1,63708.87,8,298.28958410457443,4,0
2,5,2,42179.112,8,230.0597538270438,4,1
2,5,3,33692.838,8,196.29532132114102,4,2
2,5,4,29506.4499,8,181.60879403550757,4,3
2,5,5,53595.117999999995,8,245.93022601394486,4,4
2,5,6,41730.289,8,210.98991328663084,4,5
2,5,7,28832.1349,8,175.52701379919532,4,6
2,5,8,25311.623199999998,8,164.18994272740946,4,7
2,5,9,12011.111,8,112.29872882187937,4,8
2,5,10,6465.409,8,82.30135183926203,4,9
2,5,11,2102.8289999999997,8,47.16985253697535,4,10
2,6,1,43797.049999999996,8,229.24253934889572,5,0
2,6,2,25914.273899999997,8,171.75668978750872,5,1
2,6,3,19377.187899999997,8,144.96016916962947,5,2
2,6,4,15792.3345,8,129.56604012560697,5,3
2,6,5,26863.0343,8,169.8696074106301,5,4
2,6,6,21348.4512,8,150.07369841695947,5,5
2,6,7,15702.80446,8,128.9549486706338,5,6
2,6,8,14433.5071,8,123.0552090610552,5,7
2,6,9,6306.53,8,82.67786757125512,5,8
2,6,10,2448.8231,8,50.64105066634775,5,9
2,6,11,298.92391000000003,8,18.273702242621773,5,10
2,7,1,21217.398,8,155.40574835433213,6,0
2,7,2,12237.490600000001,8,116.177729142698,6,1
2,7,3,8143.906999999999,8,94.04609960312017,6,2
2,7,4,6038.0584,8,80.14847402374795,6,3
2,7,5,9232.171,8,99.0460593379666,6,4
2,7,6,5859.299,8,78.33216458639453,6,5
2,7,7,3329.3959999999997,8,59.22390197985945,6,6
2,7,8,1878.697,8,44.348067504458406,6,7
2,7,9,326.9737,8,19.07431689213273,6,8
2,7,10,0.0,8,0.0,6,9
2,7,11,0.0,8,0.0,6,10
2,8,1,1579.3038,8,41.39030314817349,7,0
2,8,2,680.329,8,27.460202510453197,7,1
2,8,3,304.4721,8,18.416956439175827,7,2
2,8,4,149.7962,8,12.91761980433315,7,3
2,8,5,52.8845,8,7.640755600102649,7,4
2,8,6,0.0,8,0.0,7,5
2,8,7,0.0,8,0.0,7,6
2,8,8,0.0,8,0.0,7,7
2,8,9,0.0,8,0.0,7,8
2,8,10,0.0,8,0.0,7,9
2,8,11,0.0,8,0.0,7,10
3,1,1,1226.1887,8,73.20518651489729,0,0
3,1,2,547.3506,8,30.85858465458842,0,1
3,1,3,249.0264,8,17.96917934662571,0,2
3,1,4,136.7878,8,14.12543448286105,0,3
3,1,5,0.0,8,0.0,0,4
3,1,6,0.0,8,0.0,0,5
3,1,7,0.0,8,0.0,0,6
3,1,8,0.0,8,0.0,0,7
3,1,9,0.0,8,0.0,0,8
3,1,10,0.0,8,0.0,0,9
3,1,11,0.0,8,0.0,0,10
3,2,1,93656.29,8,658.1876307611683,1,0
3,2,2,60339.042,8,386.5140556552245,1,1
3,2,3,47098.4,8,264.8694719358575,1,2
3,2,4,31560.93,8,202.18722627052878,1,3
3,2,5,29526.851,8,191.79204109938973,1,4
3,2,6,8334.617999999999,8,96.26350640195899,1,5
3,2,7,1395.5881000000002,8,38.96220731784841,1,6
3,2,8,0.0,8,0.0,1,7
3,2,9,0.0,8,0.0,1,8
3,2,10,0.0,8,0.0,1,9
3,2,11,0.0,8,0.0,1,10
3,3,1,135405.9,8,649.2855135100428,2,0
3,3,2,101356.09,8,430.491203249869,2,1
3,3,3,77561.228,8,328.5062870169763,2,2
3,3,4,65988.62,8,291.25252656680937,2,3
3,3,5,86343.9,8,322.96903360522043,2,4
3,3,6,39980.39,8,211.50917549191573,2,5
3,3,7,18939.931,8,143.13111820096984,2,6
3,3,8,10302.347,8,104.34958766593186,2,7
3,3,9,1993.4393,8,45.98090061791417,2,8
3,3,10,95.94810000000001,8,10.278340611017908,2,9
3,3,11,0.0,8,0.0,2,10
3,4,1,124176.84,8,478.00428222245034,3,0
3,4,2,88444.54,8,346.88596492817345,3,1
3,4,3,66910.066,8,291.64845261339894,3,2
3,4,4,56627.515,8,259.1670214688204,3,3
3,4,5,90171.56,8,324.0100275558767,3,4
3,4,6,54583.3,8,244.1565328800153,3,5
3,4,7,29177.674,8,177.20241013722134,3,6
3,4,8,19650.906,8,144.35757257355777,3,7
3,4,9,6792.9386,8,84.65742251160852,3,8
3,4,10,2280.522,8,49.124977596025424,3,9
3,4,11,128.85309999999998,8,12.41939459174641,3,10
3,5,1,104832.56,8,378.6694886195216,4,0
3,5,2,59745.17,8,270.649777317588,4,1
3,5,3,44968.555,8,226.9282873476112,4,2
3,5,4,36913.698000000004,8,202.03128375813483,4,3
3,5,5,60957.164000000004,8,259.27997857316325,4,4
3,5,6,43581.450000000004,8,218.3759538310251,4,5
3,5,7,26395.717999999997,8,166.96115482542638,4,6
3,5,8,18851.192,8,141.20320181160906,4,7
3,5,9,6103.468,8,80.0597302291233,4,8
3,5,10,1526.799,8,40.383912461387396,4,9
3,5,11,8.85611,8,3.22134,4,10
3,6,1,68895.26000000001,8,285.6559341337582,5,0
3,6,2,36363.271,8,201.23750467340824,5,1
3,6,3,24403.519,8,162.92605508159215,5,2
3,6,4,18811.083,8,141.37664503647693,5,3
