xq2_bin,z_bin0,pt2_bin0,phi_content_sum,phi_error_sum,phi_bin_count,z_bin,pt2_bin,spec_content,spec_error,_merge,diff_phi_minus_spec,ratio_phi_over_spec
11,1,4,719.6467,31.62313652407047,8,1.0,4.0,776.75,90.7152,both,-57.10329999999999,0.9264843257161249
11,1,5,0.0,0.0,8,1.0,5.0,0.0,0.0,both,0.0,
11,1,6,0.0,0.0,8,1.0,6.0,0.0,0.0,both,0.0,
11,1,7,0.0,0.0,8,1.0,7.0,0.0,0.0,both,0.0,
11,1,8,0.0,0.0,8,1.0,8.0,0.0,0.0,both,0.0,
11,1,9,0.0,0.0,8,1.0,9.0,0.0,0.0,both,0.0,
11,1,10,0.0,0.0,8,1.0,10.0,0.0,0.0,both,0.0,
11,2,0,17783.77,301.2254477197934,8,2.0,0.0,19472.5,2965.67,both,-1688.7299999999996,0.9132761586853255
11,2,1,8937.243,160.16446699040333,8,2.0,1.0,9101.08,715.335,both,-163.83699999999953,0.9819980705586591
11,2,2,5194.035,100.12889752873542,8,2.0,2.0,5340.46,429.137,both,-146.42500000000018,0.9725819498694869
11,2,3,4354.1931,82.25598039334282,8,2.0,3.0,4378.04,305.442,both,-23.84689999999955,0.9945530648418015
11,2,4,5281.606,85.55352834863095,8,2.0,4.0,5372.19,283.974,both,-90.58399999999983,0.9831383476757152
11,2,5,1491.9897,43.69125211827763,8,2.0,5.0,1507.28,118.807,both,-15.290299999999888,0.9898557003343772
11,2,6,240.1925,16.414279796494274,8,2.0,6.0,289.237,49.852,both,-49.04450000000003,0.8304349028651243
11,2,7,0.0,0.0,8,2.0,7.0,48.7431,29.3332,both,-48.7431,0.0
11,2,8,0.0,0.0,8,2.0,8.0,0.0,0.0,both,0.0,
11,2,9,0.0,0.0,8,2.0,9.0,0.0,0.0,both,0.0,
11,2,10,0.0,0.0,8,2.0,10.0,0.0,0.0,both,0.0,
11,3,0,20612.86,247.609781538331,8,3.0,0.0,21816.1,1094.43,both,-1203.239999999998,0.9448462374118198
11,3,1,9703.763,140.19226049746825,8,3.0,1.0,9619.52,387.241,both,84.2430000000004,1.0087575055720037
11,3,2,5880.162,94.7748073290049,8,3.0,2.0,5795.97,289.715,both,84.19200000000001,1.0145259551032872
11,3,3,3794.3140000000003,72.213921290981,8,3.0,3.0,3840.98,196.489,both,-46.66599999999971,0.9878504964878756
11,3,4,4625.5657,77.76747944385237,8,3.0,4.0,4622.11,160.559,both,3.4557000000004336,1.0007476455558177
11,3,5,1853.3679,47.24211804216657,8,3.0,5.0,1913.29,128.188,both,-59.9221,0.9686811199556784
11,3,6,429.7809,22.133339192824025,8,3.0,6.0,463.282,46.0073,both,-33.50110000000001,0.9276874560203072
11,3,7,23.5494,6.65112,8,3.0,7.0,61.7842,19.9755,both,-38.2348,0.3811557000009711
11,3,8,0.0,0.0,8,3.0,8.0,0.0,0.0,both,0.0,
11,3,9,0.0,0.0,8,3.0,9.0,0.0,0.0,both,0.0,
11,3,10,0.0,0.0,8,3.0,10.0,0.0,0.0,both,0.0,
11,4,0,17056.77,160.6527598834206,8,4.0,0.0,17193.1,593.817,both,-136.3299999999981,0.9920706562516359
11,4,1,7781.288,102.48349956300282,8,4.0,1.0,7685.31,394.848,both,95.97799999999916,1.0124885007891677
11,4,2,3958.9790000000003,74.82443042763506,8,4.0,2.0,3877.24,183.364,both,81.73900000000049,1.0210817488729098
11,4,3,2065.8406,50.56532172497273,8,4.0,3.0,2049.5,132.185,both,16.340599999999995,1.0079729690168333
11,4,4,2079.324,49.2357262379423,8,4.0,4.0,2061.99,151.965,both,17.334000000000287,1.008406442320283
11,4,5,583.3929,25.709143935553357,8,4.0,5.0,664.013,45.6217,both,-80.62009999999998,0.8785865638172747
11,4,6,112.4991,11.944976245757042,8,4.0,6.0,141.231,42.5287,both,-28.731899999999996,0.7965609533317756
11,4,7,0.0,0.0,8,4.0,7.0,0.0,0.0,both,0.0,
11,4,8,0.0,0.0,8,4.0,8.0,0.0,0.0,both,0.0,
11,4,9,0.0,0.0,8,4.0,9.0,0.0,0.0,both,0.0,
11,4,10,0.0,0.0,8,4.0,10.0,0.0,0.0,both,0.0,
11,5,0,5006.8099999999995,80.20279987606418,8,5.0,0.0,4998.84,214.803,both,7.969999999999345,1.0015943698938152
11,5,1,2209.9101,51.3274644356216,8,5.0,1.0,2150.33,131.099,both,59.58010000000013,1.0277074216515605
11,5,2,992.2717,34.071595730270694,8,5.0,2.0,989.18,80.6492,both,3.09170000000006,1.003125518105906
11,5,3,345.706,19.671834051407103,8,5.0,3.0,356.025,36.8759,both,-10.31899999999996,0.9710160803314375
11,5,4,239.7389,16.528658189792658,8,5.0,4.0,247.263,38.7847,both,-7.524100000000004,0.9695704573672567
