ixq2,ipt,point,x,y,exl,exh,eyl,eyh
5,1,2,0.448473,1.45846,0,0,0.0919964,0.0919964
5,1,3,0.546371,0.859479,0,0,0.0462094,0.0462094
5,1,4,0.642534,0.407447,0,0,0.0236536,0.0236536
5,1,5,0.718527,0.0491623,0,0,0.00622263,0.00622263
5,2,0,0.273611,4.81459,0,0,0.855538,0.855538
5,2,1,0.354084,2.34411,0,0,0.245005,0.245005
5,2,2,0.450046,1.19555,0,0,0.0720422,0.0720422
5,2,3,0.546416,0.688085,0,0,0.0451902,0.0451902
5,2,4,0.640368,0.304862,0,0,0.024981,0.024981
5,2,5,0.717318,0.026635,0,0,0.00703625,0.00703625
5,3,0,0.275399,3.66649,0,0,0.5188,0.5188
5,3,1,0.353972,1.81924,0,0,0.151924,0.151924
5,3,2,0.449271,1.01685,0,0,0.0657025,0.0657025
5,3,3,0.546226,0.534518,0,0,0.0366268,0.0366268
5,3,4,0.637091,0.21359,0,0,0.0134325,0.0134325
5,3,5,0.713256,0.0129418,0,0,0.00552923,0.00552923
5,4,0,0.27833,1.9693,0,0,0.266092,0.266092
5,4,1,0.357148,1.19163,0,0,0.0844406,0.0844406
5,4,2,0.448879,0.678852,0,0,0.0272709,0.0272709
5,4,3,0.545252,0.368891,0,0,0.0209727,0.0209727
5,4,4,0.634465,0.117133,0,0,0.00735664,0.00735664
5,4,5,0.710122,0.00273505,0,0,0.00176848,0.00176848
5,5,0,0.286742,1.06108,0,0,0.399071,0.399071
5,5,1,0.358363,0.621371,0,0,0.0523518,0.0523518
5,5,2,0.45025,0.391116,0,0,0.0256425,0.0256425
5,5,3,0.543918,0.193551,0,0,0.0125023,0.0125023
5,5,4,0.630058,0.0461713,0,0,0.00527522,0.00527522
5,6,0,0.365997,0.244146,0,0,0.0288337,0.0288337
5,6,1,0.453212,0.180814,0,0,0.0127673,0.0127673
5,6,2,0.542347,0.0836017,0,0,0.00634188,0.00634188
5,6,3,0.623664,0.0123308,0,0,0.00268596,0.00268596
5,7,0,0.376751,0.0870738,0,0,0.0178499,0.0178499
5,7,1,0.450214,0.0595973,0,0,0.00516147,0.00516147
5,7,2,0.540654,0.0222237,0,0,0.0029828,0.0029828
5,7,3,0.617174,0.00151727,0,0,0.000627047,0.000627047
5,8,0,0.453017,0.00618907,0,0,0.00226989,0.00226989
5,8,1,0.530536,0.00295509,0,0,0.00128392,0.00128392
6,0,0,0.285867,9.20701,0,0,3.56833,3.56833
6,0,1,0.359937,3.74242,0,0,0.787036,0.787036
6,0,2,0.451188,2.05068,0,0,0.207562,0.207562
6,0,3,0.546905,1.10522,0,0,0.0713183,0.0713183
6,0,4,0.630141,0.261061,0,0,0.0202435,0.0202435
6,1,0,0.287889,6.68827,0,0,2.94886,2.94886
6,1,1,0.359922,2.79342,0,0,0.307081,0.307081
6,1,2,0.450092,1.51655,0,0,0.131095,0.131095
6,1,3,0.548336,0.790662,0,0,0.0746762,0.0746762
6,1,4,0.626983,0.126531,0,0,0.017702,0.017702
6,2,0,0.357964,2.31105,0,0,0.303773,0.303773
6,2,1,0.450578,1.21689,0,0,0.126627,0.126627
6,2,2,0.543492,0.490864,0,0,0.054195,0.054195
6,2,3,0.621736,0.0625349,0,0,0.0157785,0.0157785
6,3,0,0.287727,2.43801,0,0,1.17692,1.17692
6,3,1,0.357099,1.92844,0,0,0.282532,0.282532
6,3,2,0.449742,0.944947,0,0,0.10599,0.10599
6,3,3,0.541086,0.299354,0,0,0.0435134,0.0435134
6,3,4,0.619198,0.0200036,0,0,0.00684043,0.00684043
6,4,0,0.285217,1.39228,0,0,0.793706,0.793706
6,4,1,0.360594,1.01768,0,0,0.128253,0.128253
6,4,2,0.447748,0.554575,0,0,0.0456904,0.0456904
6,4,3,0.538259,0.128808,0,0,0.0149,0.0149
6,5,0,0.367918,0.325659,0,0,0.0903214,0.0903214
6,5,1,0.446917,0.172198,0,0,0.0302368,0.0302368
6,5,2,0.527555,0.0192381,0,0,0.00493126,0.00493126
6,6,0,0.444701,0.0198688,0,0,0.00831356,0.00831356
7,0,0,0.36556,3.87333,0,0,0.987994,0.987994
7,0,1,0.45287,2.08309,0,0,0.314609,0.314609
7,0,2,0.541052,0.878999,0,0,0.0848535,0.0848535
7,0,3,0.611528,0.0194228,0,0,0.0109857,0.0109857
7,1,0,0.368281,2.81636,0,0,0.598297,0.598297
7,1,1,0.449236,1.32729,0,0,0.239553,0.239553
7,1,2,0.537466,0.416046,0,0,0.0790911,0.0790911
7,2,0,0.363917,2.63812,0,0,0.931455,0.931455
7,2,1,0.447279,1.22991,0,0,0.216936,0.216936
7,2,2,0.526944,0.114321,0,0,0.0451073,0.0451073
7,3,0,0.365299,1.70238,0,0,0.665643,0.665643
7,3,1,0.447042,0.597349,0,0,0.121192,0.121192
7,4,0,0.362982,0.599602,0,0,0.195354,0.195354
7,4,1,0.438243,0.259229,0,0,0.13355,0.13355
8,0,0,0.445661,1.4339,0,0,0.201141,0.201141
8,0,1,0.547568,0.792617,0,0,0.114613,0.114613
8,0,2,0.645287,0.429151,0,0,0.0562802,0.0562802
8,0,3,0.744275,0.265776,0,0,0.0377666,0.0377666
8,1,0,0.344464,2.58265,0,0,0.332419,0.332419
8,1,1,0.446141,1.31948,0,0,0.127528,0.127528
8,1,2,0.546163,0.705514,0,0,0.0868825,0.0868825
8,1,3,0.645494,0.407973,0,0,0.0405983,0.0405983
8,1,4,0.741048,0.235337,0,0,0.0441601,0.0441601
8,2,0,0.24537,4.51178,0,0,0.320788,0.320788
8,2,1,0.344081,2.08142,0,0,0.212532,0.212532
8,2,2,0.444632,1.14633,0,0,0.0871664,0.0871664
8,2,3,0.545719,0.587791,0,0,0.0590826,0.0590826
8,2,4,0.644933,0.363701,0,0,0.0358731,0.0358731
8,2,5,0.74341,0.189676,0,0,0.0241994,0.0241994
8,3,0,0.246846,3.40871,0,0,0.227997,0.227997
8,3,1,0.344529,1.7406,0,0,0.128476,0.128476
8,3,2,0.444948,0.972611,0,0,0.0884478,0.0884478
8,3,3,0.545156,0.523363,0,0,0.0440517,0.0440517
8,3,4,0.644227,0.30244,0,0,0.0234812,0.0234812
8,3,5,0.743148,0.167953,0,0,0.021799,0.021799
8,4,0,0.249552,2.19582,0,0,0.111498,0.111498
8,4,1,0.345397,1.23144,0,0,0.0723297,0.0723297
8,4,2,0.445587,0.700965,0,0,0.0532986,0.0532986
8,4,3,0.544987,0.398683,0,0,0.0280748,0.0280748
8,4,4,0.643362,0.242842,0,0,0.0245413,0.0245413
8,4,5,0.742888,0.141596,0,0,0.0169493,0.0169493
8,5,0,0.254,1.14266,0,0,0.0683643,0.0683643
8,5,1,0.345994,0.739446,0,0,0.0425018,0.0425018
8,5,2,0.446166,0.469331,0,0,0.031084,0.031084
8,5,3,0.546027,0.287986,0,0,0.0206061,0.0206061
8,5,4,0.644274,0.175839,0,0,0.0183383,0.0183383
8,5,5,0.742799,0.105185,0,0,0.0127705,0.0127705
8,6,0,0.263455,0.600084,0,0,0.035407,0.035407
8,6,1,0.346638,0.447612,0,0,0.0264638,0.0264638
8,6,2,0.445963,0.313214,0,0,0.01674,0.01674
8,6,3,0.546592,0.202044,0,0,0.0118228,0.0118228
8,6,4,0.643986,0.127388,0,0,0.0122196,0.0122196
8,6,5,0.742264,0.0701178,0,0,0.010881,0.010881
8,7,0,0.275347,0.276713,0,0,0.0198585,0.0198585
8,7,1,0.348496,0.227473,0,0,0.0133516,0.0133516
8,7,2,0.446695,0.176904,0,0,0.010577,0.010577
8,7,3,0.546473,0.128699,0,0,0.0085598,0.0085598
8,7,4,0.643631,0.087665,0,0,0.00812845,0.00812845
8,7,5,0.741016,0.0456578,0,0,0.00657186,0.00657186
8,8,0,0.286829,0.126472,0,0,0.0158839,0.0158839
8,8,1,0.350396,0.101767,0,0,0.00731872,0.00731872
8,8,2,0.447039,0.0916883,0,0,0.00585738,0.00585738
8,8,3,0.54652,0.0700664,0,0,0.00545129,0.00545129
8,8,4,0.645623,0.0515649,0,0,0.00429397,0.00429397
8,8,5,0.733818,0.0231319,0,0,0.00420228,0.00420228
8,9,0,0.357431,0.0463973,0,0,0.00345087,0.00345087
8,9,1,0.446536,0.0423761,0,0,0.00276804,0.00276804
8,9,2,0.546034,0.0343521,0,0,0.00295689,0.00295689
8,9,3,0.645332,0.0268457,0,0,0.00266046,0.00266046
